time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1997-09-01,933.75,972,900.5,954.5,NaN,NaN,NaN,0,0,163159,NaN,NaN,NaN,NaN,NaN,NaN
1997-10-01,955.5,992.25,844,924,NaN,NaN,NaN,0,0,278665,NaN,NaN,NaN,NaN,NaN,NaN
1997-11-03,923.75,971,902.5,955,NaN,NaN,NaN,0,0,191583,NaN,NaN,NaN,NaN,NaN,NaN
1997-12-01,955.5,989.75,941.25,979,NaN,NaN,NaN,0,0,172481,NaN,NaN,NaN,NaN,NaN,NaN
1998-01-01,979.25,999,914.5,987.75,NaN,NaN,NaN,0,0,276322,NaN,NaN,NaN,NaN,NaN,NaN
1998-02-02,988,1055,987.75,1050.5,NaN,NaN,NaN,0,0,216624,NaN,NaN,NaN,NaN,NaN,NaN
1998-03-02,1049.25,1125.25,1032,1110.5,NaN,NaN,NaN,0,0,234967,NaN,NaN,NaN,NaN,NaN,NaN
1998-04-01,1109.75,1142.5,1081.5,1119.25,NaN,NaN,NaN,0,0,293414,NaN,NaN,NaN,NaN,NaN,NaN
1998-05-01,1119.25,1137,1075,1090.75,NaN,NaN,NaN,0,0,297304,NaN,NaN,NaN,NaN,NaN,NaN
1998-06-01,1090,1158,1073.5,1143,NaN,NaN,NaN,0,0,287189,NaN,NaN,NaN,NaN,NaN,NaN
1998-07-01,1143,1199.75,1116.25,1123,NaN,NaN,NaN,1,0,384879,NaN,NaN,NaN,NaN,NaN,NaN
1998-08-03,1122.25,1128.25,952,954,NaN,NaN,NaN,0,0,464603,NaN,NaN,NaN,NaN,NaN,NaN
1998-09-01,951.75,1080.75,935,1026,NaN,NaN,NaN,0,0,353429,NaN,NaN,NaN,NaN,NaN,NaN
1998-10-01,1026.5,1110.25,929.25,1105.25,NaN,NaN,NaN,0,1,512759,NaN,NaN,NaN,NaN,NaN,NaN
1998-11-02,1105,1198,1101.75,1162.5,NaN,NaN,NaN,0,0,441211,64.77272727272727,NaN,64.77272727272727,NaN,NaN,NaN
1998-12-01,1162.75,1256.75,1135.5,1245.5,NaN,NaN,NaN,0,0,372091,68.74151638549543,NaN,NaN,NaN,NaN,NaN
1999-01-01,1243.25,1291,1203.5,1281.25,NaN,NaN,NaN,0,0,571058,70.29392794619,NaN,NaN,NaN,NaN,NaN
1999-02-01,1274.25,1279.25,1217.5,1235.75,NaN,NaN,NaN,0,0,652330,65.81393959905238,NaN,NaN,NaN,NaN,NaN
1999-03-01,1239.25,1338,1228,1294,NaN,NaN,NaN,0,0,474978,68.57516169822834,NaN,NaN,NaN,NaN,NaN
1999-04-01,1292.75,1376.75,1291,1337.75,NaN,NaN,NaN,0,0,142960,70.50227653845931,NaN,NaN,NaN,70.50227653845931,NaN
1999-05-03,1359,1376,1278,1296.75,NaN,NaN,NaN,0,0,224742,66.39316082038386,NaN,NaN,NaN,NaN,NaN
1999-06-01,1298.75,1386.5,1278,1381.5,NaN,NaN,NaN,0,0,508867,70.25268319675854,NaN,NaN,NaN,NaN,NaN
1999-07-01,1381.75,1431.75,1335.75,1339.5,NaN,NaN,NaN,1,0,845421,66.19546469210394,NaN,NaN,NaN,NaN,NaN
1999-08-02,1332.5,1387.75,1271,1319.75,NaN,NaN,NaN,0,0,1069942,64.31451586982196,NaN,NaN,NaN,NaN,NaN
1999-09-01,1320,1368.25,1267.5,1297.75,NaN,NaN,NaN,0,0,955301,62.194491139389825,NaN,NaN,NaN,NaN,NaN
1999-10-01,1297,1383,1241.5,1376.25,NaN,NaN,NaN,0,1,1197006,66.44482538896662,NaN,NaN,NaN,NaN,NaN
