time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1999-06-01,2293.5,2348.5,2268.5,2325.5,NaN,NaN,NaN,0,0,2456,NaN,NaN,NaN,NaN,NaN,NaN
1999-07-01,2326,2489,2265.5,2294,NaN,NaN,NaN,0,0,57920,NaN,NaN,NaN,NaN,NaN,NaN
1999-08-02,2266.5,2477.5,2132,2395.5,NaN,NaN,NaN,0,1,83324,NaN,NaN,NaN,NaN,NaN,NaN
1999-09-01,2395,2588,2362,2439.5,NaN,NaN,NaN,0,0,80972,NaN,NaN,NaN,NaN,NaN,NaN
1999-10-01,2436.5,2672,2318.5,2655.5,NaN,NaN,NaN,0,0,104355,NaN,NaN,NaN,NaN,NaN,NaN
1999-11-01,2650,3165,2626.5,2972,NaN,NaN,NaN,0,0,120691,NaN,NaN,NaN,NaN,NaN,NaN
1999-12-01,2971,3804.5,2961.5,3754,NaN,NaN,NaN,0,0,161344,NaN,NaN,NaN,NaN,NaN,NaN
2000-01-03,3750,3938,3257,3612.5,NaN,NaN,NaN,0,0,301193,NaN,NaN,NaN,NaN,NaN,NaN
2000-02-01,3606.5,4316,3564,4301,NaN,NaN,NaN,0,0,386267,NaN,NaN,NaN,NaN,NaN,NaN
2000-03-01,4298,4884,4108,4457.5,NaN,NaN,NaN,1,0,522545,NaN,NaN,NaN,NaN,NaN,NaN
2000-04-03,4417,4417,3148,3810,NaN,NaN,NaN,0,0,599269,NaN,NaN,NaN,NaN,NaN,NaN
2000-05-01,3807.5,3910,2902.5,3325,NaN,NaN,NaN,0,1,744705,NaN,NaN,NaN,NaN,NaN,NaN
2000-06-01,3324,4057.5,3324,3817,NaN,NaN,NaN,0,0,677644,NaN,NaN,NaN,NaN,NaN,NaN
2000-07-03,3801.5,4134.5,3464.5,3617,NaN,NaN,NaN,0,0,755886,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-01,3616,4095,3370,4094,NaN,NaN,NaN,0,0,883112,68.50088921435297,NaN,NaN,NaN,68.50088921435297,NaN
2000-09-01,4089.5,4186,3580.5,3621,NaN,NaN,NaN,1,0,1049991,61.903411363454566,NaN,NaN,NaN,NaN,NaN
2000-10-02,3621,3668,2978.5,3298,NaN,NaN,NaN,0,0,1588826,57.808896288328796,NaN,NaN,NaN,NaN,NaN
2000-11-01,3299.5,3400,2435,2530,NaN,NaN,NaN,0,0,1518227,49.43601839042003,NaN,NaN,NaN,NaN,NaN
2000-12-01,2530.5,3033,2211,2374.5,NaN,NaN,NaN,0,0,1291787,47.92254830699406,NaN,NaN,NaN,NaN,NaN
2001-01-01,2375,2797,2130.5,2611,NaN,NaN,NaN,0,0,1879203,50.4092106183264,NaN,NaN,NaN,NaN,NaN
2001-02-01,2608.5,2647.5,1881,1913,NaN,NaN,NaN,0,0,1941199,43.76686475585011,NaN,NaN,NaN,NaN,NaN
2001-03-01,1905.5,2036.5,1544.5,1588,NaN,NaN,NaN,0,0,2275576,41.054283904741496,NaN,NaN,NaN,NaN,NaN
2001-04-02,1601,1997,1361,1866.5,NaN,NaN,NaN,0,1,2923006,44.24332866632544,NaN,NaN,NaN,NaN,NaN
2001-05-01,1862,2080.5,1764,1798.5,NaN,NaN,NaN,1,0,2795588,43.62275991556297,NaN,NaN,NaN,NaN,NaN
2001-06-01,1799,1999,1660,1855,NaN,NaN,NaN,0,0,2592862,44.32156069457315,NaN,NaN,NaN,NaN,NaN
2001-07-02,1848,1882,1588.5,1693,NaN,NaN,NaN,0,0,2475685,42.6877414885643,NaN,NaN,NaN,NaN,NaN
2001-08-01,1691,1779.5,1437,1472.5,NaN,NaN,NaN,0,0,2567569,40.49939660659411,NaN,NaN,NaN,NaN,NaN
2001-09-03,1474,1523,1097,1175,NaN,NaN,NaN,0,1,2315085,37.691873289573984,48.13348453597588,37.691873289573984,NaN,NaN,NaN
2001-10-01,1171,1493,1136,1369,NaN,NaN,NaN,0,0,3964161,40.58438330554449,46.13944839963243,NaN,NaN,NaN,NaN
2001-11-01,1364.5,1648,1360.5,1598,NaN,NaN,NaN,0,0,3263778,43.895297146708444,44.853154527007696,NaN,NaN,NaN,NaN
2001-12-03,1590,1738,1557.5,1583.5,NaN,NaN,NaN,1,0,2076269,43.72913375520996,43.847457203213494,NaN,NaN,NaN,NaN
2002-01-01,1577.5,1717,1484,1553.5,NaN,NaN,NaN,0,0,3719312,43.363388666096284,43.41369793719037,NaN,NaN,NaN,NaN
2002-02-01,1549.5,1565.5,1330.5,1360.5,NaN,NaN,NaN,0,0,3843644,40.988256340456864,42.918391368152,NaN,NaN,NaN,NaN
2002-03-01,1360,1575,1358,1459.5,NaN,NaN,NaN,0,0,3076884,42.7213418907049,42.36925788760761,NaN,NaN,NaN,NaN
2002-04-01,1454,1489.5,1231,1280,NaN,NaN,NaN,0,0,4227364,40.40435450844263,42.12907858422136,NaN,NaN,NaN,NaN
2002-05-01,1279.5,1354,1144.5,1209.5,NaN,NaN,NaN,0,0,4835568,39.49827509965398,42.017935098143674,NaN,NaN,NaN,NaN
2002-06-03,1209.5,1219.5,974,1054,NaN,NaN,NaN,0,0,4012925,37.500698661950274,41.536318669259735,NaN,NaN,NaN,NaN
2002-07-01,1054.5,1073.5,873,961.5,NaN,NaN,NaN,0,0,6038526,36.32386954159295,41.01496935683331,NaN,NaN,NaN,NaN
2002-08-01,958.5,1055,857,943.5,NaN,NaN,NaN,0,0,4305028,36.08654925825826,40.426754254239384,NaN,NaN,NaN,NaN
2002-09-02,942,980.5,826,837,NaN,NaN,NaN,0,0,3875705,34.64431274181692,39.852223629471716,34.64431274181692,NaN,NaN,NaN
2002-10-01,835.5,1014.5,797.5,991.5,NaN,NaN,NaN,0,1,6252221,38.48522287982538,39.70835407755966,NaN,NaN,NaN,NaN
2002-11-01,991.5,1145,973.5,1117,NaN,NaN,NaN,0,0,5031103,41.49308473997898,39.97986918116002,NaN,NaN,NaN,NaN
2002-12-02,1112.5,1157.5,979,987,NaN,NaN,NaN,1,0,3873744,39.346871128936286,39.891475454259435,NaN,NaN,NaN,NaN
2003-01-01,992,1108.5,965,984.5,NaN,NaN,NaN,0,0,5338706,39.304767087093936,39.563580450001254,NaN,NaN,NaN,NaN
2003-02-03,984,1022,938.5,1010.5,NaN,NaN,NaN,0,1,4879522,40.0235739113403,39.298897604010556,NaN,NaN,NaN,NaN
2003-03-03,1014.5,1103.5,945,1021,NaN,NaN,NaN,0,0,4619156,40.33090584506448,39.082291688222575,NaN,NaN,NaN,NaN
2003-04-01,1019,1129.5,1015.5,1108,NaN,NaN,NaN,0,0,5130873,42.939906690186085,39.2216952846318,NaN,NaN,NaN,NaN
2003-05-01,1107,1202.5,1095,1199,NaN,NaN,NaN,0,0,5238059,45.61835893236583,39.42862507332187,NaN,NaN,NaN,NaN
2003-06-02,1198.5,1266.5,1180,1204.5,NaN,NaN,NaN,0,0,5483012,45.78400641164349,39.8128859235505,NaN,NaN,NaN,NaN
2003-07-01,1206,1319.5,1179,1279,NaN,NaN,NaN,0,0,6365998,48.09052737245469,40.426618228750556,NaN,NaN,NaN,NaN
