time,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
01/03/1971,40,NaN,NaN,NaN,0,0,NaN,99.98463095,99.9760071,NaN,NaN,NaN,NaN
01/04/1971,40.1,NaN,NaN,NaN,0,0,NaN,99.98539272,99.97772407,NaN,NaN,NaN,NaN
01/05/1971,40.3,NaN,NaN,NaN,0,0,NaN,99.98680171,99.97929057,NaN,NaN,NaN,NaN
01/06/1971,40.6,NaN,NaN,NaN,0,0,NaN,99.98858099,99.98066267,NaN,NaN,NaN,NaN
01/07/1971,40.7,NaN,NaN,NaN,0,0,NaN,99.98910809,99.98197622,NaN,NaN,NaN,NaN
01/08/1971,40.8,NaN,NaN,NaN,0,0,NaN,99.9896239,99.98314566,NaN,NaN,NaN,NaN
01/09/1971,40.8,NaN,NaN,NaN,0,0,NaN,99.9896239,99.98415227,NaN,NaN,NaN,NaN
01/10/1971,40.9,NaN,NaN,NaN,0,0,NaN,99.99016411,99.98519746,NaN,NaN,NaN,NaN
01/11/1971,40.9,NaN,NaN,NaN,0,0,NaN,99.99016411,99.98608544,NaN,NaN,NaN,NaN
01/12/1971,41.1,NaN,NaN,NaN,0,0,NaN,99.99122392,99.98690864,NaN,NaN,NaN,NaN
01/01/1972,41.1,NaN,NaN,NaN,0,0,NaN,99.99122392,99.98760591,NaN,NaN,NaN,NaN
01/02/1972,41.3,NaN,NaN,NaN,0,0,NaN,99.99219879,99.98825955,NaN,NaN,NaN,NaN
01/03/1972,41.4,NaN,NaN,NaN,0,0,NaN,99.99263908,99.98894464,NaN,NaN,NaN,NaN
01/04/1972,41.5,NaN,NaN,NaN,0,0,NaN,99.99306083,99.98960265,NaN,NaN,NaN,NaN
01/05/1972,41.6,NaN,NaN,NaN,0,0,NaN,99.99346413,99.99023359,NaN,NaN,NaN,NaN
01/06/1972,41.7,NaN,NaN,NaN,0,0,NaN,99.9938491,99.99083761,NaN,NaN,NaN,NaN
