time,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
01/08/1971,5.75,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/09/1971,5.13,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/10/1971,5.13,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/11/1971,4.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/12/1971,3.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/01/1972,3.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/02/1972,3.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/03/1972,5.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/04/1972,5.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/05/1972,5.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/06/1972,5.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/07/1972,5.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/08/1972,5.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/09/1972,5.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/10/1972,5.5,NaN,NaN,NaN,0,0,NaN,47.05882353,NaN,NaN,NaN,NaN,NaN
01/11/1972,5.5,NaN,NaN,NaN,0,0,NaN,47.05882353,NaN,NaN,NaN,NaN,NaN
01/12/1972,5.5,NaN,NaN,NaN,0,0,NaN,47.05882353,NaN,47.05882353,NaN,NaN,NaN
01/01/1973,6,NaN,NaN,NaN,0,0,NaN,53.84130541,NaN,NaN,NaN,NaN,NaN
01/02/1973,6.75,NaN,NaN,NaN,0,0,NaN,61.7560022,NaN,NaN,NaN,NaN,NaN
01/03/1973,7.25,NaN,NaN,NaN,0,0,NaN,65.94796361,NaN,NaN,NaN,NaN,NaN
01/04/1973,7.25,NaN,NaN,NaN,0,0,NaN,65.94796361,NaN,NaN,NaN,NaN,NaN
01/05/1973,8.25,NaN,NaN,NaN,0,0,NaN,72.85058218,NaN,NaN,NaN,NaN,NaN
01/06/1973,8.5,NaN,NaN,NaN,0,0,NaN,74.25558902,NaN,NaN,NaN,NaN,NaN
01/07/1973,10.5,NaN,NaN,NaN,0,0,NaN,82.19432084,NaN,NaN,NaN,NaN,NaN
01/08/1973,11,NaN,NaN,NaN,1,0,NaN,83.5592627,NaN,NaN,NaN,83.5592627,NaN
01/09/1973,9,NaN,NaN,NaN,0,0,NaN,62.81623357,NaN,NaN,NaN,NaN,NaN
01/10/1973,9,NaN,NaN,NaN,0,0,NaN,62.81623357,NaN,NaN,NaN,NaN,NaN
01/11/1973,9,NaN,NaN,NaN,0,0,NaN,62.81623357,63.56986863,NaN,NaN,NaN,NaN
01/12/1973,9,NaN,NaN,NaN,0,0,NaN,62.81623357,64.69539792,NaN,NaN,NaN,NaN
01/01/1974,9,NaN,NaN,NaN,0,0,NaN,62.81623357,65.82092721,62.81623357,NaN,NaN,NaN
01/02/1974,9,NaN,NaN,NaN,0,0,NaN,62.81623357,66.9464565,NaN,NaN,NaN,NaN
01/03/1974,10,NaN,NaN,NaN,0,0,NaN,68.84796627,68.01836085,NaN,NaN,NaN,NaN
01/04/1974,10.75,NaN,NaN,NaN,0,0,NaN,72.45666906,68.78269419,NaN,NaN,NaN,NaN
01/05/1974,13,NaN,NaN,NaN,0,0,NaN,79.95766545,69.78338718,NaN,NaN,NaN,NaN
01/06/1974,13,NaN,NaN,NaN,0,0,NaN,79.95766545,70.78408017,NaN,NaN,79.95766545,NaN
