time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1975-01-01,702.522,717.3474,702.522,709.1809,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-02-03,706.3546,706.3546,691.7518,695.5441,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-03-03,693.9922,701.8287,688.534,701.8287,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-04-01,700.3859,701.6621,686.1117,687.136,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-05-01,686.1017,686.1017,670.4574,675.1738,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-06-02,675.5242,678.4599,645.4247,645.4247,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-07-01,650.69,653.46,640.73,640.73,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-08-01,639.89,639.89,624.78,629,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-09-01,628.42,629.38,616.84,618.03,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-10-01,617.36,627.75,614.22,627.75,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-11-03,626.31,626.31,612.79,612.79,NaN,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
1975-12-01,615.15,620.74,614.73,617.55,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1976-01-01,617.49,621.46,614.89,616.65,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1976-02-02,615,615,608.17,612.49,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1976-03-01,610.08,610.89,574.17,574.17,NaN,NaN,NaN,0,0,0,11.761973625255706,NaN,NaN,NaN,11.761973625255706,NaN
1976-04-01,564.33,564.33,541.23,551.51,NaN,NaN,NaN,0,0,0,10.333568085244806,NaN,NaN,NaN,NaN,NaN
1976-05-03,546.18,548.86,527.6,527.6,NaN,NaN,NaN,0,0,0,9.080472687028703,NaN,NaN,NaN,NaN,NaN
1976-06-01,527.33,533.12,514.42,532.45,NaN,NaN,NaN,0,0,0,11.426770604404282,NaN,NaN,NaN,NaN,NaN
1976-07-01,532.39,534.99,520.66,523.61,NaN,NaN,NaN,0,0,0,10.875855566473575,NaN,NaN,NaN,NaN,NaN
1976-08-02,524.26,525.33,510.74,514.55,NaN,NaN,NaN,0,0,0,10.326354229929805,NaN,NaN,NaN,NaN,NaN
1976-09-01,512.38,512.38,474.68,477.32,NaN,NaN,NaN,0,0,0,8.439382071106152,NaN,NaN,NaN,NaN,NaN
1976-10-01,481.36,484.31,462.27,467.71,NaN,NaN,NaN,0,1,0,8.031414584057558,NaN,8.031414584057558,NaN,NaN,NaN
1976-11-01,471.02,496.9,471.02,490.88,NaN,NaN,NaN,0,0,0,18.287690997060167,NaN,NaN,NaN,NaN,NaN
1976-12-01,493.31,499.36,489.69,497.99,NaN,NaN,NaN,0,0,0,21.192038347317748,NaN,NaN,NaN,21.192038347317748,NaN
1977-01-03,498.15,504.98,494.46,494.46,NaN,NaN,NaN,1,0,0,20.79681044807036,NaN,NaN,NaN,NaN,NaN
1977-02-01,494.07,494.38,476.13,484.94,NaN,NaN,NaN,0,0,0,19.728223725849105,NaN,NaN,NaN,NaN,NaN
1977-03-01,483.63,485.04,475.67,477.25,NaN,NaN,NaN,0,0,0,18.884142233843463,NaN,NaN,NaN,NaN,NaN
1977-04-01,473.43,479.53,465.55,477.56,NaN,NaN,NaN,0,0,0,19.03453130085262,14.15708775046386,NaN,NaN,NaN,NaN
1977-05-02,478.18,478.24,475.47,475.86,NaN,NaN,NaN,0,0,0,18.82837563976264,14.661830751500071,NaN,NaN,NaN,NaN
1977-06-01,476.77,476.77,460.63,460.94,NaN,NaN,NaN,0,0,0,17.079960622597568,15.143715932739553,NaN,NaN,NaN,NaN
1977-07-01,459.03,463.99,452.78,463.07,NaN,NaN,NaN,0,1,0,18.247120092114613,15.79847646167426,NaN,NaN,NaN,NaN
1977-08-01,464,466.41,461.93,466.41,NaN,NaN,NaN,0,0,0,20.145237479611495,16.421224095617635,NaN,NaN,NaN,NaN
1977-09-01,467.19,467.19,460.76,460.76,NaN,NaN,NaN,1,0,0,19.327737609268127,17.024929955817246,NaN,NaN,NaN,NaN
1977-10-03,456.43,460.05,443.52,459.76,NaN,NaN,NaN,0,0,0,19.17938804241082,17.6572895138516,NaN,NaN,NaN,NaN
1977-11-01,453.75,454.38,436.41,443.47,NaN,NaN,NaN,0,1,0,16.90333015473061,18.261857234110494,16.90333015473061,NaN,NaN,NaN
1977-12-01,441.24,460.27,439.74,460.27,NaN,NaN,NaN,0,0,0,26.580194793348852,19.586770106202728,NaN,NaN,NaN,NaN
1978-01-02,466.29,471.1,458.07,470.88,NaN,NaN,NaN,0,0,0,31.96849645439886,20.563970496012637,NaN,NaN,31.96849645439886,NaN
1978-02-01,471.18,471.47,461.89,461.89,NaN,NaN,NaN,1,0,0,29.961999706504386,21.190396307383107,NaN,NaN,NaN,NaN
1978-03-01,462.76,462.76,410.56,410.56,NaN,NaN,NaN,0,0,0,21.618641289115786,21.249098510314923,NaN,NaN,NaN,NaN
1978-04-03,406.93,415.32,406.33,411.34,NaN,NaN,NaN,0,0,0,21.97420410284637,21.409525680100444,NaN,NaN,NaN,NaN
1978-05-01,412.09,415.33,405.74,405.74,NaN,NaN,NaN,0,0,0,21.229603244917826,21.5770586094629,NaN,NaN,NaN,NaN
1978-06-01,404.28,404.28,377.83,377.83,NaN,NaN,NaN,0,0,0,17.962685898925983,21.500498223610997,NaN,NaN,NaN,NaN
1978-07-03,377.86,384.75,364.79,364.79,NaN,NaN,NaN,0,0,0,16.671818367097345,21.346458418420617,16.671818367097345,NaN,NaN,NaN
1978-08-01,359.82,372.34,359.82,372.34,NaN,NaN,NaN,0,1,0,20.245529785830044,21.572570501508654,NaN,NaN,NaN,NaN
1978-09-01,372.96,373.59,368.44,373.23,NaN,NaN,NaN,0,0,0,20.67739901310422,21.74616185300791,NaN,NaN,NaN,NaN
1978-10-02,371.64,375.09,363.88,371.98,NaN,NaN,NaN,0,0,0,20.509419897072902,21.772174882826583,NaN,NaN,NaN,NaN
1978-11-01,374.22,389.14,369.49,389.14,NaN,NaN,NaN,0,0,0,29.03275008353691,22.465390059560065,NaN,NaN,NaN,NaN
1978-12-01,390.82,396.43,384.08,396.43,NaN,NaN,NaN,0,0,0,32.35129763596727,23.406240744814095,NaN,NaN,NaN,NaN
1979-01-01,394.89,401.22,393.39,400.64,NaN,NaN,NaN,0,0,0,34.26308094574712,24.64622294417242,NaN,NaN,NaN,NaN
1979-02-01,400.23,410.57,394.16,410.57,NaN,NaN,NaN,0,0,0,38.665920725161435,25.509489082159032,NaN,NaN,NaN,NaN
1979-03-01,412.79,433.29,412.79,433.29,NaN,NaN,NaN,0,0,0,47.35415286346665,26.608464539949587,NaN,NaN,NaN,NaN
1979-04-02,437.99,459.37,437.99,459.37,NaN,NaN,NaN,0,0,0,55.19925720300502,28.411125789699636,NaN,NaN,NaN,NaN
1979-05-01,462.92,465.88,434.02,456.82,NaN,NaN,NaN,0,0,0,54.34650373880929,30.748830250392025,NaN,NaN,NaN,NaN
1979-06-01,459.3,474.5,451.47,474.5,NaN,NaN,NaN,0,0,0,59.068003291440256,33.39838733529159,NaN,NaN,NaN,NaN
1979-07-02,476.96,499.9,476.96,488.58,NaN,NaN,NaN,0,0,0,62.40277973179795,36.33932851292588,NaN,NaN,NaN,NaN
1979-08-01,487.98,501.44,481.06,497.14,NaN,NaN,NaN,0,0,0,64.30668972989503,39.649614500852245,NaN,NaN,NaN,NaN
1979-09-03,496.12,496.14,475.93,494.49,NaN,NaN,NaN,0,1,0,63.23903046434142,42.975843936369685,NaN,NaN,NaN,NaN
1979-10-01,494.88,502.79,486.46,492.42,NaN,NaN,NaN,0,0,0,62.367972017468226,45.984589810058125,NaN,NaN,NaN,NaN
1979-11-01,493.45,546.9,485.79,546.9,NaN,NaN,NaN,0,0,0,72.93445235834449,49.717236477575284,NaN,NaN,NaN,NaN
1979-12-03,550.34,550.34,507.58,532.74,NaN,NaN,NaN,0,0,0,67.61999758952317,53.082277741321725,NaN,NaN,NaN,NaN
1980-01-01,534.72,548.79,524.8,542.67,NaN,NaN,NaN,0,0,0,69.30891683054875,55.95914679467972,NaN,NaN,NaN,NaN
1980-02-01,548.96,569.06,548.96,569.06,NaN,NaN,NaN,1,0,0,73.29542375383105,58.88372723166999,NaN,NaN,73.29542375383105,NaN
1980-03-03,553.1,554.18,538,538,NaN,NaN,NaN,0,0,0,62.934144392749126,60.931660335027274,NaN,NaN,NaN,NaN
1980-04-01,551.06,562.54,543.35,543.35,NaN,NaN,NaN,0,0,0,63.88126666338113,62.73275647347153,NaN,NaN,NaN,NaN
1980-05-01,542.91,542.91,518.12,524.8,NaN,NaN,NaN,0,0,0,58.31706931284642,63.51582193414152,NaN,NaN,NaN,NaN
1980-06-02,522.04,522.04,503.74,518.8,NaN,NaN,NaN,0,1,0,56.59980954316207,63.61586138700988,NaN,NaN,NaN,NaN
1980-07-01,519.45,541.76,514.54,530.52,NaN,NaN,NaN,0,0,0,59.13138715894017,63.95763877416209,NaN,NaN,NaN,NaN
1980-08-01,529.84,537.72,521.14,525.79,NaN,NaN,NaN,0,0,0,57.66933532471599,63.85773391939607,NaN,NaN,NaN,NaN
1980-09-01,522.39,527.31,501.36,501.36,NaN,NaN,NaN,0,0,0,50.69706058401308,63.021611123125716,NaN,NaN,NaN,NaN
1980-10-01,498.03,522.52,497.52,514.37,NaN,NaN,NaN,0,0,0,53.89393872567189,62.27784319425263,NaN,NaN,NaN,NaN
1980-11-03,515.47,518.54,498.94,510.61,NaN,NaN,NaN,0,0,0,52.827806478258715,61.53418433810388,NaN,NaN,NaN,NaN
1980-12-01,511.32,511.32,482.69,484.66,NaN,NaN,NaN,0,0,0,46.05617625673174,60.36905606947984,NaN,NaN,NaN,NaN
1981-01-01,481.97,493.68,478.47,487.31,NaN,NaN,NaN,0,0,0,46.8060465012039,58.50274136539837,NaN,NaN,NaN,NaN
1981-02-02,476.43,479.61,460.31,461.14,NaN,NaN,NaN,0,0,0,40.777561598833664,56.585424508920546,NaN,NaN,NaN,NaN
1981-03-02,460.02,475.8,454.5,473.53,NaN,NaN,NaN,0,1,0,44.4269707402805,54.808142645329966,NaN,NaN,NaN,NaN
1981-04-01,477.53,477.53,458.54,462.42,NaN,NaN,NaN,0,0,0,41.931762348431846,52.567881116372874,NaN,NaN,NaN,NaN
1981-05-01,462.31,464.74,457.89,463.2,NaN,NaN,NaN,0,0,0,42.17730316221884,51.08524959990643,NaN,NaN,NaN,NaN
1981-06-01,459.28,459.28,436.75,437.95,NaN,NaN,NaN,0,0,0,36.7585988051576,49.14791618146189,NaN,NaN,NaN,NaN
1981-07-01,430.88,445.36,428.28,441.39,NaN,NaN,NaN,0,0,0,37.92860959442531,47.69159763014609,NaN,NaN,NaN,NaN
1981-08-03,443.97,443.97,418.22,425.85,NaN,NaN,NaN,0,0,0,34.796736521390486,46.13423527144813,NaN,NaN,NaN,NaN
1981-09-01,423.13,424.73,408.37,422.2,NaN,NaN,NaN,0,1,0,34.08482690935769,44.34519525362081,34.08482690935769,NaN,NaN,NaN
1981-10-01,427.71,435.88,420.58,435.88,NaN,NaN,NaN,0,0,0,39.11277130048243,43.01972639474699,NaN,NaN,NaN,NaN
1981-11-02,428.45,433.68,414.5,420,NaN,NaN,NaN,0,0,0,35.70777286592069,41.94906298631181,NaN,NaN,NaN,NaN
1981-12-01,422.13,422.13,410.79,420.24,NaN,NaN,NaN,0,1,0,35.79874058441091,40.656548833364596,NaN,NaN,NaN,NaN
1982-01-01,422.72,432.75,417.45,429.03,NaN,NaN,NaN,0,0,0,39.19225758175028,39.68258105504257,NaN,NaN,NaN,NaN
1982-02-01,433.19,440.9,427.62,431.9,NaN,NaN,NaN,0,0,0,40.30180379432295,39.271554450584794,NaN,NaN,NaN,NaN
1982-03-01,435.04,442.94,425.75,442.02,NaN,NaN,NaN,1,0,0,44.17024113451313,39.083282638678305,NaN,NaN,NaN,NaN
1982-04-01,439.03,441.29,421.35,427.59,NaN,NaN,NaN,0,1,0,40.17284281874754,39.040088440100725,NaN,NaN,NaN,NaN
1982-05-03,429.44,435.95,421.61,433.79,NaN,NaN,NaN,0,0,0,42.5774289107257,38.90797830941824,NaN,NaN,NaN,NaN
1982-06-01,436.8,447.78,436.74,444.45,NaN,NaN,NaN,0,0,0,46.55484054424367,39.238198180547656,NaN,NaN,NaN,NaN
1982-07-01,444.15,448.68,439.89,448.68,NaN,NaN,NaN,0,0,0,48.09131649230504,39.66062770412524,NaN,NaN,NaN,NaN
1982-08-02,449.7,451.56,441.63,446.26,NaN,NaN,NaN,0,0,0,47.25432956120402,40.41032275812855,NaN,NaN,NaN,NaN
1982-09-01,445.69,457.61,445.15,455.41,NaN,NaN,NaN,0,0,0,50.74487914321561,41.32577058304214,NaN,NaN,NaN,NaN
1982-10-01,456.38,466.32,454,464.83,NaN,NaN,NaN,1,0,0,54.11172489300765,42.705412609586226,NaN,NaN,54.11172489300765,NaN
1982-11-01,465.23,465.36,398.05,406.7,NaN,NaN,NaN,0,0,0,37.20907467280943,42.9285731641185,NaN,NaN,NaN,NaN
1982-12-01,406.88,407.13,379.34,379.34,NaN,NaN,NaN,0,0,0,32.12302784914992,42.4293057747376,NaN,NaN,NaN,NaN
1983-01-03,376.04,376.04,359.2,366.44,NaN,NaN,NaN,0,0,0,30.03822922453992,42.02433837178183,NaN,NaN,NaN,NaN
1983-02-01,367.27,367.27,357.4,361.36,NaN,NaN,NaN,0,0,0,29.233612944455956,41.55540068321362,NaN,NaN,NaN,NaN
1983-03-01,357.57,359.72,346.23,354.42,NaN,NaN,NaN,0,1,0,28.12522710677102,40.76489850642939,28.12522710677102,NaN,NaN,NaN
