time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1971-01-01,2.3938,2.4174,2.3938,2.4174,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-02-01,2.4184,2.4193,2.4147,2.416,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-03-01,2.4162,2.4194,2.4162,2.4168,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-04-01,2.4147,2.4196,2.4125,2.4193,NaN,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-05-03,2.4189,2.4194,2.417,2.4178,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-06-01,2.4162,2.4196,2.4162,2.4196,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-07-01,2.419,2.4191,2.4178,2.4184,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-08-02,2.4175,2.4723,2.417,2.4535,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-09-01,2.4541,2.4847,2.4541,2.4847,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-01,2.4892,2.4945,2.4802,2.4914,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-01,2.4927,2.4939,2.4925,2.4937,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1971-12-01,2.4939,2.5538,2.493,2.552,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1972-01-03,2.552,2.5937,2.549,2.5937,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1972-02-01,2.5998,2.607,2.5937,2.6059,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1972-03-01,2.6058,2.644,2.6058,2.6163,NaN,NaN,NaN,1,0,0,98.02028005794313,NaN,NaN,NaN,98.02028005794313,NaN
1972-04-03,2.616,2.616,2.6068,2.611,NaN,NaN,NaN,0,0,0,95.39128863184555,NaN,NaN,NaN,NaN,NaN
1972-05-01,2.611,2.6152,2.6105,2.613,NaN,NaN,NaN,0,0,0,95.44098029238263,NaN,NaN,NaN,NaN,NaN
1972-06-01,2.6125,2.6125,2.441,2.441,NaN,NaN,NaN,0,0,0,47.75416114185591,NaN,NaN,NaN,NaN,NaN
1972-07-03,2.421,2.4537,2.421,2.4498,NaN,NaN,NaN,0,0,0,49.15394077710263,NaN,NaN,NaN,NaN,NaN
1972-08-01,2.4485,2.4542,2.446,2.4483,NaN,NaN,NaN,0,0,0,48.913377745087665,NaN,NaN,NaN,NaN,NaN
1972-09-01,2.4489,2.4496,2.4195,2.4195,NaN,NaN,NaN,0,0,0,44.41847684546695,NaN,NaN,NaN,NaN,NaN
