time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1986-05-01,1.5618,1.6128,1.5596,1.59319997,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1986-06-02,1.56439996,1.58529997,1.54859996,1.5589,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1986-07-01,1.57799995,1.57799995,1.47510004,1.47730005,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1986-08-01,1.4684,1.47160006,1.44000006,1.44000006,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1986-09-01,1.44519997,1.4756,1.39629996,1.41040003,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1986-10-01,1.39619994,1.41299999,1.36619997,1.41299999,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1986-11-03,1.39600003,1.42019999,1.36099994,1.36099994,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1986-12-01,1.36969995,1.403,1.36849999,1.36849999,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-01-01,1.37979996,1.37979996,1.32669997,1.34379995,NaN,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-02-02,1.3391,1.36810005,1.33140004,1.36650002,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-03-02,1.38209999,1.43130004,1.38209999,1.3987,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-04-01,1.40269995,1.4339,1.40269995,1.4339,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-05-01,1.43060005,1.44239998,1.41659999,1.42789996,NaN,NaN,NaN,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-06-01,1.43379998,1.43990004,1.40649998,1.40649998,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-07-01,1.42410004,1.44200003,1.42410004,1.42589998,NaN,NaN,NaN,0,0,0,29.421901017443815,NaN,29.421901017443815,NaN,NaN,NaN
1987-08-03,1.42680001,1.43879998,1.42449999,1.42990005,NaN,NaN,NaN,0,0,0,30.161989197566953,NaN,NaN,NaN,NaN,NaN
