time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1987-04-01,2745,2750,2600,2674,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-05-01,2684,2968,2671,2932,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-06-01,2929,3183,2929,3179,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-07-01,3178,3565,3173,3564,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-03,3568,3736,3415,3735,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-09-01,3693,4022,3594,4021,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-10-01,4017,4030,1880,2235,NaN,NaN,NaN,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-11-02,1950,2400,1910,2122,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1987-12-01,2095,2450,1875,2293,NaN,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
1988-01-01,2200,2525,2190,2409,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1988-02-01,2425,2444,2180,2443,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1988-03-01,2470,2650,2440,2512,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1988-04-01,2515,2720,2510,2596,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1988-05-02,2595,2658,2450,2490,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1988-06-01,2535,2770,2530,2704,NaN,NaN,NaN,0,0,0,50.371287128712865,NaN,NaN,NaN,NaN,NaN
1988-07-01,2709,2800,2610,2692,NaN,NaN,NaN,1,0,0,50.21067415730337,NaN,NaN,NaN,NaN,NaN
1988-08-01,2722,2740,2437,2463,NaN,NaN,NaN,0,0,0,47.12274672936637,NaN,NaN,NaN,NaN,NaN
1988-09-01,2430,2535,2410,2454,NaN,NaN,NaN,0,0,0,47.000407886077845,NaN,47.000407886077845,NaN,NaN,NaN
1988-10-03,2442,2640,2405,2631,NaN,NaN,NaN,0,1,0,49.76273557006179,NaN,NaN,NaN,NaN,NaN
1988-11-01,2628,2690,2525,2689,NaN,NaN,NaN,0,0,0,50.670039612695724,NaN,NaN,NaN,NaN,NaN
1988-12-01,2688,2738,2600,2718,NaN,NaN,NaN,0,0,0,51.145144268227746,NaN,NaN,NaN,NaN,NaN
1989-01-02,2712,3158,2676,3158,NaN,NaN,NaN,0,0,0,57.78798665402461,NaN,NaN,NaN,NaN,NaN
1989-02-01,3167,3260,3075,3075,NaN,NaN,NaN,0,0,0,56.23466838319316,NaN,NaN,NaN,NaN,NaN
1989-03-01,3075,3245,3020,3025,NaN,NaN,NaN,0,0,0,55.27084908332503,NaN,NaN,NaN,NaN,NaN
1989-04-03,3030,3270,3000,3265,NaN,NaN,NaN,0,0,0,58.91118158622829,NaN,NaN,NaN,58.91118158622829,NaN
1989-05-01,3205,3380,2610,2718,NaN,NaN,NaN,1,0,0,49.10242215923393,NaN,NaN,NaN,NaN,NaN
1989-06-01,2740,2753,1910,2256,NaN,NaN,NaN,0,1,0,42.64416547641304,NaN,42.64416547641304,NaN,NaN,NaN
1989-07-03,2250,2605,2250,2603,NaN,NaN,NaN,0,0,0,48.15929214715109,51.02811434585821,NaN,NaN,NaN,NaN
1989-08-01,2610,2693,2495,2547,NaN,NaN,NaN,0,0,0,47.3676965140065,50.81357215909346,NaN,NaN,NaN,NaN
1989-09-01,2550,2800,2535,2777,NaN,NaN,NaN,0,0,0,50.93484327462535,50.865298524616456,NaN,NaN,NaN,NaN
1989-10-02,2778,2858,2569,2749,NaN,NaN,NaN,0,0,0,50.48624607473326,51.10554847785695,NaN,NaN,NaN,NaN
1989-11-01,2755,2837,2735,2772,NaN,NaN,NaN,0,0,0,50.869028005303164,51.381878486373054,NaN,NaN,NaN,NaN
1989-12-01,2780,2990,2767,2892,NaN,NaN,NaN,1,0,0,52.91430734521618,51.60699075602694,NaN,NaN,NaN,NaN
1990-01-01,2876,2950,2790,2800,NaN,NaN,NaN,0,0,0,51.15603785600653,51.641704916263414,NaN,NaN,NaN,NaN
1990-02-01,2822,2982,2752,2950,NaN,NaN,NaN,0,1,0,53.84871472597568,51.834817091816845,NaN,NaN,NaN,NaN
1990-03-01,2935,3025,2884,2985,NaN,NaN,NaN,0,0,0,54.479299899488545,51.5984823236357,NaN,NaN,NaN,NaN
1990-04-02,2959,3054,2935,2970,NaN,NaN,NaN,0,0,0,54.137895414674816,51.44871282588439,NaN,NaN,NaN,NaN
1990-05-01,2972,3110,2937,3104,NaN,NaN,NaN,0,0,0,56.74564433117648,51.55405534358806,NaN,NaN,NaN,NaN
1990-06-01,3110,3303,3105,3298,NaN,NaN,NaN,0,0,0,60.26800468154762,51.65097127896802,NaN,NaN,NaN,NaN
1990-07-02,3350,3585,3310,3477,NaN,NaN,NaN,1,0,0,63.24232637410349,52.66096443717299,NaN,NaN,63.24232637410349,NaN
1990-08-01,3480,3512,2770,3020,NaN,NaN,NaN,0,0,0,52.447406300632295,53.36119592461722,NaN,NaN,NaN,NaN
1990-09-03,2992,3075,2730,2753,NaN,NaN,NaN,0,1,0,47.36098779702603,53.30417418532257,47.36098779702603,NaN,NaN,NaN
1990-10-01,2750,3060,2750,2932,NaN,NaN,NaN,0,0,0,50.80552483794094,53.54973335131789,NaN,NaN,NaN,NaN
1990-11-01,2910,2975,2835,2896,NaN,NaN,NaN,0,0,0,50.0955282815044,53.48978228038067,NaN,NaN,NaN,NaN
1990-12-03,2970,3150,2930,3103,NaN,NaN,NaN,0,0,0,54.07012518619493,53.74577364548508,NaN,NaN,NaN,NaN
1991-01-01,2975,3218,2916,3189,NaN,NaN,NaN,0,0,0,55.65048258853752,54.0873061157161,NaN,NaN,NaN,NaN
1991-02-01,3200,3538,3175,3537,NaN,NaN,NaN,0,0,0,61.43328296693762,54.69580437441049,NaN,NaN,NaN,NaN
1991-03-01,3537,3755,3517,3728,NaN,NaN,NaN,0,0,0,64.19294980045285,55.62701237044238,NaN,NaN,NaN,NaN
1991-04-01,3730,3860,3575,3596,NaN,NaN,NaN,0,0,0,60.94714359339859,56.134043003829724,NaN,NaN,NaN,NaN
1991-05-01,3610,3913,3540,3707,NaN,NaN,NaN,0,0,0,62.657069833699744,56.71816942770196,NaN,NaN,NaN,NaN
1991-06-03,3710,3743,3575,3722,NaN,NaN,NaN,0,0,0,62.89351332982023,57.3435707073552,NaN,NaN,NaN,NaN
1991-07-01,3758,4125,3758,4072,NaN,NaN,NaN,1,0,0,67.9869155046907,58.1465186483205,NaN,NaN,NaN,NaN
1991-08-01,4073,4120,3740,4022,NaN,NaN,NaN,0,0,0,66.5808862778147,58.59743876233957,NaN,NaN,NaN,NaN
1991-09-02,4035,4064,3912,3991,NaN,NaN,NaN,0,0,0,65.6740287923574,58.77113179221486,NaN,NaN,NaN,NaN
1991-10-01,4000,4120,3973,4055,NaN,NaN,NaN,0,0,0,66.68295388582459,59.7879566197286,NaN,NaN,NaN,NaN
1991-11-01,4059,4252,4040,4131,NaN,NaN,NaN,0,0,0,67.88992187958895,61.25430905419738,NaN,NaN,NaN,NaN
1991-12-02,4101,4283,4075,4279,NaN,NaN,NaN,0,0,0,70.15718467543985,62.63657047116158,NaN,NaN,NaN,NaN
1992-01-01,4318,4662,4283,4658,NaN,NaN,NaN,0,0,0,75.0211935651017,64.41697513427569,NaN,NaN,NaN,NaN
1992-02-03,4660,4945,4660,4931,NaN,NaN,NaN,0,0,0,77.82487557179377,66.1137430189613,NaN,NaN,NaN,NaN
1992-03-02,4910,5105,4880,4955,NaN,NaN,NaN,0,0,0,78.05804184560749,67.71428296589488,NaN,NaN,NaN,NaN
1992-04-01,4945,5467,4745,5366,NaN,NaN,NaN,0,0,0,81.62186653105104,69.15632464904584,NaN,NaN,NaN,NaN
1992-05-01,5385,6192,5381,6190,NaN,NaN,NaN,0,0,0,86.39342168452107,70.742072640765,NaN,NaN,86.39342168452107,NaN
1992-06-01,6200,6235,5775,6126,NaN,NaN,NaN,1,0,0,84.55711113349463,72.428498893629,NaN,NaN,NaN,NaN
1992-07-01,6120,6212,5668,5839,NaN,NaN,NaN,0,0,0,76.68547233478932,73.43052764370682,NaN,NaN,NaN,NaN
1992-08-03,5838,5988,5270,5553,NaN,NaN,NaN,0,1,0,69.72013637930465,73.91814357581286,NaN,NaN,NaN,NaN
1992-09-01,5570,5720,5415,5444,NaN,NaN,NaN,0,0,0,67.21439406200412,73.86296347276381,NaN,NaN,NaN,NaN
