Date,Burgundy 150,Champagne 50,Italy 100,Liv-ex Fine Wine 1000,Rhone 100
30/04/2010,200.3,207.8,174.34,223.79,152.69
31/05/2010,203.98,213.47,173.43,228.7,150.87
30/06/2010,202.79,220.33,171.17,231.61,153.39
31/07/2010,201.94,225.29,178.39,232.5,152.95
31/08/2010,206.87,232.21,176.69,235.28,151.68
30/09/2010,208.8,232.32,178.76,237.98,153.15
31/10/2010,212.34,231.95,176.69,242.29,151.15
30/11/2010,213.22,230.64,181.65,247.14,154.86
31/12/2010,223.2,237.07,186.46,254.26,156.38
31/01/2011,225.61,236.93,183.75,257.64,159.61
28/02/2011,236.74,233.96,187.05,264.4,158.64
31/03/2011,238.68,234.7,187.73,266.79,163.96
30/04/2011,244.59,235.5,191.38,271.03,167.46
31/05/2011,248.24,236.57,193.35,274.91,168.43
30/06/2011,258.92,241.51,193.57,278.7,172.04
31/07/2011,259.14,243.64,195.64,279.69,169.99
31/08/2011,258.92,244.06,197.12,273.17,166.95
30/09/2011,260.26,250.22,195.62,266.9,169.33
31/10/2011,258.84,249.26,193.34,259.8,165.86
30/11/2011,254.92,250.44,196.18,255.14,168.07
31/12/2011,261.79,248.36,198.32,253.37,168.72
31/01/2012,269.01,252.05,194.59,254.82,165.87
29/02/2012,274.65,248.61,193.86,257.47,169.22
31/03/2012,275.76,244.23,194.95,256.56,168.8
30/04/2012,270.55,248.26,196.81,255.64,168.61
31/05/2012,270.93,246.47,196.98,250.89,168.73
30/06/2012,271.59,248.32,196.17,245.47,167.76
31/07/2012,268.49,249.08,196.66,242.84,167.93
31/08/2012,271.21,242.1,196.52,242.75,167.3
30/09/2012,269.66,250,195.03,244.2,168.41
31/10/2012,267.48,248.88,198.14,243.7,167.74
30/11/2012,267.69,247.47,197.54,244.96,169.58
31/12/2012,268.66,252.17,198.71,247.36,173.18
31/01/2013,275.36,254.9,204.95,252.15,173.87
28/02/2013,282.25,259.67,209.68,257.09,171.55
31/03/2013,280.52,264.45,206.96,256.8,176.27
30/04/2013,288.56,266.26,207.96,257.09,174.55
31/05/2013,282.92,265.72,209.42,256.7,174.04
30/06/2013,287.56,271.22,211.04,258.65,173.92
31/07/2013,284.36,274.57,215.56,258.78,170.17
31/08/2013,280.07,272.76,223.6,258.56,174.8
30/09/2013,288.68,272.85,223.65,259.25,174.67
31/10/2013,290.79,270.79,219.92,257.54,170.82
30/11/2013,294.42,274.02,219.62,256.04,169.33
