time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2002-05-01,0.91825,0.93705,0.90275,0.9339,NaN,NaN,NaN,0,0,20,NaN,NaN,NaN,NaN,NaN,NaN
2002-06-03,0.9329,0.9919,0.9329,0.9919,NaN,NaN,NaN,0,0,20,NaN,NaN,NaN,NaN,NaN,NaN
2002-07-01,0.9915,1.01195,0.9731,0.9775,NaN,NaN,NaN,1,0,23,NaN,NaN,NaN,NaN,NaN,NaN
2002-08-01,0.9775,0.9866,0.96635,0.9822,NaN,NaN,NaN,0,0,22,NaN,NaN,NaN,NaN,NaN,NaN
2002-09-02,0.9823,0.99695,0.9692,0.9875,NaN,NaN,NaN,0,0,19,NaN,NaN,NaN,NaN,NaN,NaN
2002-10-01,0.9875,0.9898,0.9709,0.9898,NaN,NaN,NaN,0,0,23,NaN,NaN,NaN,NaN,NaN,NaN
2002-11-01,0.9898,1.013,0.9898,0.9944,NaN,NaN,NaN,0,0,21,NaN,NaN,NaN,NaN,NaN,NaN
2002-12-02,0.9945,1.0439,0.9945,1.0435,NaN,NaN,NaN,0,0,21,NaN,NaN,NaN,NaN,NaN,NaN
2003-01-01,1.0435,1.0856,1.03615,1.0765,NaN,NaN,NaN,0,0,24,NaN,NaN,NaN,NaN,NaN,NaN
2003-02-03,1.0789,1.0883,1.0691,1.08,NaN,NaN,NaN,0,0,20,NaN,NaN,NaN,NaN,NaN,NaN
2003-03-03,1.0785,1.1058,1.0525,1.0926,NaN,NaN,NaN,0,0,21,NaN,NaN,NaN,NaN,NaN,NaN
2003-04-01,1.0926,1.1174,1.0688,1.1174,NaN,NaN,NaN,0,0,22,NaN,NaN,NaN,NaN,NaN,NaN
2003-05-01,1.1174,1.19065,1.1174,1.1783,NaN,NaN,NaN,1,0,22,NaN,NaN,NaN,NaN,NaN,NaN
2003-06-02,1.1715,1.1877,1.1425,1.1506,NaN,NaN,NaN,0,0,21,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-01,1.1506,1.1562,1.1174,1.1232,NaN,NaN,NaN,0,0,23,78.83033810539143,NaN,NaN,NaN,NaN,NaN
2003-08-01,1.1232,1.1387,1.0855,1.0984,NaN,NaN,NaN,0,0,21,72.89982882277744,NaN,72.89982882277744,NaN,NaN,NaN
2003-09-01,1.0995,1.1657,1.0809,1.1657,NaN,NaN,NaN,0,1,22,77.78419967453283,NaN,NaN,NaN,NaN,NaN
2003-10-01,1.1657,1.1811,1.1563,1.1583,NaN,NaN,NaN,0,0,23,76.15880784314376,NaN,NaN,NaN,NaN,NaN
2003-11-03,1.159,1.1993,1.1408,1.1993,NaN,NaN,NaN,0,0,20,78.80183580271103,NaN,NaN,NaN,NaN,NaN
2003-12-01,1.1984,1.2578,1.1976,1.2578,NaN,NaN,NaN,0,0,23,81.88725850638349,NaN,NaN,NaN,81.88725850638349,NaN
2004-01-01,1.2578,1.2841,1.2352,1.2475,NaN,NaN,NaN,1,0,45,79.68800439697144,NaN,NaN,NaN,NaN,NaN
2004-02-02,1.2479,1.2837,1.2427,1.2494,NaN,NaN,NaN,0,0,40,79.79580018581699,NaN,NaN,NaN,NaN,NaN
2004-03-01,1.2485,1.2485,1.2121,1.2316,NaN,NaN,NaN,0,0,46,75.74045173006907,NaN,NaN,NaN,NaN,NaN
2004-04-01,1.2316,1.2363,1.1823,1.1981,NaN,NaN,NaN,0,0,44,68.66737932584385,NaN,NaN,NaN,NaN,NaN
2004-05-03,1.1985,1.2263,1.182,1.21875,NaN,NaN,NaN,0,1,42,70.49638628692887,NaN,NaN,NaN,NaN,NaN
2004-06-01,1.21875,1.2321,1.2005,1.2199,NaN,NaN,NaN,0,0,44,70.5993154750462,NaN,NaN,NaN,NaN,NaN
2004-07-01,1.2199,1.2451,1.20195,1.20195,NaN,NaN,NaN,1,0,44,66.68851485223375,NaN,66.68851485223375,NaN,NaN,NaN
2004-08-02,1.2051,1.2374,1.2013,1.2183,NaN,NaN,NaN,0,0,44,68.40530547942308,74.74595903480522,NaN,NaN,NaN,NaN
2004-09-01,1.2183,1.2434,1.2058,1.2434,NaN,NaN,NaN,0,0,44,70.88596092490302,74.1785035219132,NaN,NaN,NaN,NaN
2004-10-01,1.2434,1.28067,1.22845,1.2744,NaN,NaN,NaN,0,0,40,73.63885333789403,74.23129098727868,NaN,NaN,NaN,NaN
2004-11-01,1.28095,1.32952,1.2727,1.32952,NaN,NaN,NaN,0,0,44,77.6800674003976,74.22385296769758,NaN,NaN,NaN,NaN
2004-12-01,1.32952,1.3642,1.32125,1.3568,NaN,NaN,NaN,1,0,46,79.36603810067345,74.45294084323541,NaN,NaN,79.36603810067345,NaN
2005-01-03,1.35525,1.35815,1.291975,1.303855,NaN,NaN,NaN,0,0,781410,68.54437014520519,73.72026472484215,NaN,NaN,NaN,NaN
2005-02-01,1.303855,1.327905,1.273325,1.322855,NaN,NaN,NaN,0,1,649768,70.11896377030533,72.8796722436937,NaN,NaN,NaN,NaN
2005-03-01,1.322855,1.348055,1.285805,1.296305,NaN,NaN,NaN,0,0,713298,65.20694976641516,71.84531119865397,NaN,NaN,NaN,NaN
2005-04-01,1.296305,1.312505,1.276665,1.2872,NaN,NaN,NaN,0,0,714774,63.56248311816121,70.68578855096426,NaN,NaN,NaN,NaN
2005-05-02,1.2862,1.298925,1.229635,1.230335,NaN,NaN,NaN,0,0,643718,54.34448820105332,69.15750544174885,NaN,NaN,NaN,NaN
2005-06-01,1.230335,1.235255,1.198305,1.210805,NaN,NaN,NaN,0,0,797478,51.57792038731506,67.9368298032825,NaN,NaN,NaN,NaN
2005-07-01,1.210805,1.225505,1.186925,1.2122,NaN,NaN,NaN,0,1,780861,51.76680149764192,66.59900231833345,NaN,NaN,NaN,NaN
2005-08-01,1.2123,1.248655,1.2119,1.234675,NaN,NaN,NaN,0,0,846250,54.82425980085456,65.47221262731975,NaN,NaN,NaN,NaN
2005-09-01,1.234675,1.258925,1.197955,1.2027,NaN,NaN,NaN,1,0,820994,49.971055849238425,64.27810841282009,NaN,NaN,NaN,NaN
2005-10-03,1.2025,1.220375,1.187565,1.199215,NaN,NaN,NaN,0,0,773750,49.45717552585957,62.92467055899412,NaN,NaN,NaN,NaN
2005-11-01,1.199215,1.208455,1.164025,1.178775,NaN,NaN,NaN,0,1,782453,46.44066604262541,61.17857806740286,46.44066604262541,NaN,NaN,NaN
2005-12-01,1.178775,1.20615,1.166075,1.1848,NaN,NaN,NaN,0,0,722024,47.45795240224246,59.30851371485632,NaN,NaN,NaN,NaN
2006-01-02,1.1844,1.232325,1.18015,1.215585,NaN,NaN,NaN,1,0,474727,52.4297172195004,57.50491727336366,NaN,NaN,NaN,NaN
