time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2015-12-01,3195,3262,3170,3208,NaN,NaN,NaN,0,0,9390,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-01,3207,3208,2739,2764,NaN,NaN,NaN,0,0,71006,NaN,NaN,NaN,NaN,NaN,NaN
2016-02-01,2753,2966,2740,2925,NaN,NaN,NaN,0,0,83424,NaN,NaN,NaN,NaN,NaN,NaN
2016-03-01,2952,3141,2891,2952,NaN,NaN,NaN,0,0,69068,NaN,NaN,NaN,NaN,NaN,NaN
2016-04-01,2949,3234,2846,3210,NaN,NaN,NaN,0,0,54234,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-02,3211,3234,2886,3024,NaN,NaN,NaN,0,0,54540,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-01,3007,3181,2926,2957,NaN,NaN,NaN,0,0,52642,NaN,NaN,NaN,NaN,NaN,NaN
2016-07-01,2956,3149,2814,2819.5,NaN,NaN,NaN,0,0,54672,NaN,NaN,NaN,NaN,NaN,NaN
2016-08-01,2826.5,3117,2817,2903,NaN,NaN,NaN,0,0,108760,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,2919.5,2950,2706,2778,NaN,NaN,NaN,0,0,88356,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-03,2756.5,2845,2622.5,2736,NaN,NaN,NaN,0,0,56273,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-01,2722.5,2766,2356.5,2380,NaN,NaN,NaN,0,0,40077,NaN,NaN,NaN,NaN,NaN,NaN
2016-12-01,2382,2425,2119,2139.5,NaN,NaN,NaN,0,0,40947,NaN,NaN,NaN,NaN,NaN,NaN
2017-01-02,2124.5,2288,2070,2090,NaN,NaN,NaN,0,0,44832,NaN,NaN,NaN,NaN,NaN,NaN
2017-02-01,2098.5,2147,1891,1906,NaN,NaN,NaN,0,0,33433,22.426937738246494,NaN,22.426937738246494,NaN,NaN,NaN
2017-03-01,1902.5,2183,1867,2089,NaN,NaN,NaN,0,0,43378,28.403247631935045,NaN,NaN,NaN,NaN,NaN
2017-04-03,2090,2123,1752,1830,NaN,NaN,NaN,0,1,31248,25.41851332804778,NaN,NaN,NaN,NaN,NaN
2017-05-01,1826,2084,1769,2037,NaN,NaN,NaN,0,0,42956,31.60465009305588,NaN,NaN,NaN,NaN,NaN
2017-06-01,2011,2081,1802,1929,NaN,NaN,NaN,0,0,43563,30.197323091724584,NaN,NaN,NaN,NaN,NaN
2017-07-03,1977,2077,1788,2066,NaN,NaN,NaN,0,0,34095,34.200007703575125,NaN,NaN,NaN,NaN,NaN
2017-08-01,2075,2086,1824,1919,NaN,NaN,NaN,0,0,55220,32.074692972418745,NaN,NaN,NaN,NaN,NaN
2017-09-01,1923,2054.1,1886.1,2054.1,NaN,NaN,NaN,0,0,78336,36.01045446223622,NaN,NaN,NaN,NaN,NaN
2017-10-02,2039.6,2155.1,1982.1,2091.1,NaN,NaN,NaN,0,0,101551,37.085626829709085,NaN,NaN,NaN,NaN,NaN
2017-11-01,2086,2233.6,2033,2053.6,NaN,NaN,NaN,1,0,64283,36.417749956542096,NaN,NaN,NaN,NaN,NaN
2017-12-01,2041.1,2046.1,1805.1,1895.6,NaN,NaN,NaN,0,1,58674,33.666680346639126,NaN,NaN,NaN,NaN,NaN
2018-01-01,1897.1,2009.6,1834.1,1987.6,NaN,NaN,NaN,0,0,71763,36.666778560481355,NaN,NaN,NaN,NaN,NaN
2018-02-01,1994.1,2230.1,1984.1,2217.1,NaN,NaN,NaN,0,0,62378,43.52821157641555,NaN,NaN,NaN,NaN,NaN
2018-03-01,2207.6,2640.6,2194.1,2554.1,NaN,NaN,NaN,0,0,125612,51.788022217974934,34.249206893500144,NaN,NaN,NaN,NaN
2018-04-02,2554.1,2938.6,2415.1,2824.1,NaN,NaN,NaN,1,0,128036,57.19054707657753,36.73232184623807,NaN,NaN,57.19054707657753,NaN
2018-05-01,2823.1,2903.1,2443.6,2458.1,NaN,NaN,NaN,0,0,132682,49.1502903118065,38.2142534662289,NaN,NaN,NaN,NaN
2018-06-01,2456.7,2559.1,2250.1,2505.6,NaN,NaN,NaN,0,0,135607,50.130187718307994,39.979373065533196,NaN,NaN,NaN,NaN
2018-07-02,2505.3,2590.6,2151.1,2153.1,NaN,NaN,NaN,0,0,135707,43.440082250104275,40.82476107675093,NaN,NaN,NaN,NaN
2018-08-01,2151.8,2394.1,2033.1,2330.1,NaN,NaN,NaN,0,0,117250,47.24705012253076,42.042598721808524,NaN,NaN,NaN,NaN
2018-09-03,2329.1,2368.1,2051.1,2062.1,NaN,NaN,NaN,0,0,99141,42.574381322516814,42.64076826601864,42.574381322516814,NaN,NaN,NaN
2018-10-01,2061.1,2279.1,1982.1,2226.6,NaN,NaN,NaN,0,1,128341,46.09816807031281,43.64244505872536,NaN,NaN,NaN,NaN
2018-11-01,2225.6,2394.1,2101.6,2191.1,NaN,NaN,NaN,0,0,107653,45.45000393824759,44.316698592726176,NaN,NaN,NaN,NaN
2018-12-03,2190.2,2435.1,2093.1,2414.1,NaN,NaN,NaN,1,0,90778,50.18801798058909,45.252583674931884,NaN,NaN,NaN,NaN
2019-01-01,2424.5,2424.5,2159.1,2162.1,NaN,NaN,NaN,0,0,95093,45.39019690548992,45.893472742713875,NaN,NaN,NaN,NaN
2019-02-01,2169.1,2365.1,2163.1,2249.1,NaN,NaN,NaN,0,0,77007,47.26454436033393,46.864748743692076,NaN,NaN,NaN,NaN
2019-03-01,2245.9,2283.6,2111.1,2283.1,NaN,NaN,NaN,0,1,71435,48.01547174985426,47.675369685790145,NaN,NaN,NaN,NaN
2019-04-01,2285.6,2450.6,2232.1,2352.6,NaN,NaN,NaN,0,0,82728,49.59546568556905,48.10874497930111,NaN,NaN,NaN,NaN
2019-05-01,2369.6,2476.1,2224.1,2402.6,NaN,NaN,NaN,0,0,100335,50.75507755971083,48.03496321799653,NaN,NaN,NaN,NaN
2019-06-03,2408.1,2553.3,2305.1,2439.1,NaN,NaN,NaN,0,0,96406,51.629915158224,47.63777522382842,NaN,NaN,NaN,NaN
2019-07-01,2439.3,2592.2,2372,2376.7,NaN,NaN,NaN,1,0,112288,49.994731162114014,47.698092427421805,NaN,NaN,NaN,NaN
2019-08-01,2374,2397.8,2164.4,2211.1,NaN,NaN,NaN,0,1,96386,45.84502052363024,47.3920090563734,45.84502052363024,NaN,NaN,NaN
2019-09-02,2206.7,2511,2186.4,2453.6,NaN,NaN,NaN,0,0,117643,52.11325186900385,48.01152117200909,NaN,NaN,NaN,NaN
2019-10-01,2456.2,2561.9,2402.9,2436.6,NaN,NaN,NaN,0,0,175124,51.66181384813954,48.326861438124,NaN,NaN,NaN,NaN
2019-11-01,2435.8,2692.6,2422,2557.5,NaN,NaN,NaN,0,0,98294,54.669305269165726,49.19078457717035,NaN,NaN,NaN,NaN
2019-12-02,2563.2,2655.9,2392.9,2541.7,NaN,NaN,NaN,0,1,106796,54.19475007136481,49.76911186295978,NaN,NaN,NaN,NaN
2020-01-01,2528.5,2868.3,2472.1,2787.1,NaN,NaN,NaN,0,0,133812,60.00215288289798,50.808551073291945,NaN,NaN,60.00215288289798,NaN
2020-02-03,2767.4,2931.6,2644.4,2670.4,NaN,NaN,NaN,1,0,106732,56.34373503249096,51.24824514842779,NaN,NaN,NaN,NaN
2020-03-02,2674,2685.9,2191.3,2246.4,NaN,NaN,NaN,0,1,169639,45.491152489623175,51.255456261580164,NaN,NaN,NaN,NaN
2020-04-01,2242.7,2417.5,2212.8,2400,NaN,NaN,NaN,0,0,108001,49.30091275364673,51.400911146816796,NaN,NaN,NaN,NaN
2020-05-01,2404,2469.2,2300.2,2405.8,NaN,NaN,NaN,0,0,108832,49.44460047448735,51.50299177000487,NaN,NaN,NaN,NaN
2020-06-01,2408.5,2480.4,2170.5,2181.5,NaN,NaN,NaN,0,0,114607,44.22461236434503,51.11935938991744,44.22461236434503,NaN,NaN,NaN
2020-07-01,2178.7,2413.2,2097.4,2411.1,NaN,NaN,NaN,0,1,130593,50.03906086962246,51.06821534062542,NaN,NaN,NaN,NaN
2020-08-03,2397,2667.1,2349.8,2650.5,NaN,NaN,NaN,0,0,123315,55.27455360056642,51.32854665793559,NaN,NaN,NaN,NaN
2020-09-01,2653.1,2702,2515.8,2524.9,NaN,NaN,NaN,0,0,157068,52.184817996353715,51.48498143180985,NaN,NaN,NaN,NaN
2020-10-01,2502.2,2510.2,2287.7,2307.1,NaN,NaN,NaN,0,0,131000,47.252266401206604,51.58549899449388,NaN,NaN,NaN,NaN
2020-11-02,2288.6,2814.6,2249.5,2738.9,NaN,NaN,NaN,1,1,126169,56.109658484815455,51.870956609908994,NaN,NaN,56.109658484815455,NaN
2020-12-01,2742.1,2751.5,2425.5,2559,NaN,NaN,NaN,0,0,147986,52.17844687100492,51.90785896868509,NaN,NaN,NaN,NaN
2021-01-01,2584.8,2620.1,2435.7,2476.9,NaN,NaN,NaN,0,0,124712,50.441550523708116,51.60587648686669,NaN,NaN,NaN,NaN
2021-02-01,2477,2616.7,2369,2592.7,NaN,NaN,NaN,0,0,90591,52.82677055726346,51.508163664430874,NaN,NaN,NaN,NaN
2021-03-01,2613.8,2662,2359.2,2373.7,NaN,NaN,NaN,1,0,115070,48.11077556878585,50.65877957056573,NaN,NaN,NaN,NaN
2021-04-01,2386.8,2537.6,2355.8,2385.3,NaN,NaN,NaN,0,0,98038,48.373674635813344,50.08948954223161,NaN,NaN,NaN,NaN
2021-05-03,2401.7,2568.1,2326.8,2438.6,NaN,NaN,NaN,0,0,119450,49.63632520693268,50.38557330775372,NaN,NaN,NaN,NaN
2021-06-01,2449.5,2494,2337.3,2393.6,NaN,NaN,NaN,0,0,98183,48.556558696842515,50.33240516083913,NaN,NaN,NaN,NaN
2021-07-01,2394.5,2481.5,2259.5,2392.2,NaN,NaN,NaN,0,1,116336,48.52119465282299,50.26644760214882,NaN,NaN,NaN,NaN
2021-08-02,2394.7,2677.9,2372.7,2537.9,NaN,NaN,NaN,0,0,114288,52.40610888143761,50.85084021051258,NaN,NaN,NaN,NaN
2021-09-01,2542.9,2717.4,2518.3,2648,NaN,NaN,NaN,0,0,130702,55.15990599284554,51.21661486217137,NaN,NaN,55.15990599284554,NaN
2021-10-01,2650.2,2799.3,2536.3,2578.5,NaN,NaN,NaN,1,0,158577,53.072381996762154,51.05931689047107,NaN,NaN,NaN,NaN
2021-11-01,2574.1,2599,2343.2,2344.1,NaN,NaN,NaN,0,0,104282,46.658821307775376,50.66460284128691,46.658821307775376,NaN,NaN,NaN
2021-12-01,2367.3,2583.1,2339.5,2540.6,NaN,NaN,NaN,0,1,116155,51.90583991078281,50.997000949113776,NaN,NaN,NaN,NaN
2022-01-03,2565.6,2718.6,2431.1,2564.8,NaN,NaN,NaN,0,0,126842,52.52521044251573,50.740968946092366,NaN,NaN,NaN,NaN
