time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1993-12-01,96.21,96.85,94.67,96.84,NaN,NaN,NaN,0,0,NaN,60.419051738072355,56.10351553654284,NaN,NaN,60.419051738072355,NaN
1994-01-03,96.76,97.09,95.15,95.59,NaN,NaN,NaN,0,0,NaN,57.58452140716565,56.33507158095965,NaN,NaN,NaN,NaN
1994-02-01,95.46,97.1,94.34,94.55,NaN,NaN,NaN,1,0,NaN,55.26157868776358,56.256843127135156,NaN,NaN,NaN,NaN
1994-03-01,94.61,95.42,92.86,93.06,NaN,NaN,NaN,0,0,NaN,52.02362268852217,55.938530345397126,NaN,NaN,NaN,NaN
1994-04-01,93.38,95.33,91.71,92.12,NaN,NaN,NaN,0,0,NaN,50.031935067294434,55.31853521396885,NaN,NaN,NaN,NaN
1994-05-02,92.57,94.11,91.53,92.52,NaN,NaN,NaN,0,0,NaN,50.89347742651719,55.04980621550592,NaN,NaN,NaN,NaN
1994-06-01,92.47,93.58,89.09,89.62,NaN,NaN,NaN,0,0,NaN,44.85511999730293,54.64683033462132,NaN,NaN,NaN,NaN
1994-07-01,89.55,90.56,87.01,89.87,NaN,NaN,NaN,0,1,NaN,45.455921477233666,54.34781294159672,NaN,NaN,NaN,NaN
1994-08-01,89.39,90.31,87.44,89.67,NaN,NaN,NaN,0,0,NaN,45.03322028553995,53.501110974941035,NaN,NaN,NaN,NaN
1994-09-01,89.71,89.72,87.14,87.88,NaN,NaN,NaN,0,0,NaN,41.32893098904401,52.2196814134944,NaN,NaN,NaN,NaN
1994-10-03,87.72,88.37,84.91,85.69,NaN,NaN,NaN,0,1,NaN,37.28770351691706,50.84563365748013,NaN,NaN,NaN,NaN
1994-11-01,85.43,89.27,85.2,89.13,NaN,NaN,NaN,0,0,NaN,46.18857672732189,50.26278300674347,NaN,NaN,46.18857672732189,NaN
1994-12-01,89.03,90.18,88.46,88.72,NaN,NaN,NaN,1,0,NaN,45.36218871507725,49.37225596301477,NaN,NaN,NaN,NaN
1995-01-02,89.09,89.63,86.95,87.99,NaN,NaN,NaN,0,0,NaN,43.85759940520179,48.25596058064102,NaN,NaN,NaN,NaN
1995-02-01,88.04,88.49,85.75,85.93,NaN,NaN,NaN,0,0,NaN,39.841632378642736,46.78614491211033,NaN,NaN,NaN,NaN
1995-03-01,86.07,86.08,81.47,81.9,NaN,NaN,NaN,0,0,NaN,33.39852861792845,45.05857399859339,NaN,NaN,NaN,NaN
1995-04-03,81.97,83.03,80.22,81.8,NaN,NaN,NaN,0,1,NaN,33.254816893844364,43.48666244188488,33.254816893844364,NaN,NaN,NaN
1995-05-01,81.78,84.84,80.55,82.57,NaN,NaN,NaN,0,0,NaN,35.554320428506216,42.31028370902659,NaN,NaN,NaN,NaN
1995-06-01,83.45,83.45,81.35,81.58,NaN,NaN,NaN,0,0,NaN,33.93550397909216,41.16053863129786,NaN,NaN,NaN,NaN
1995-07-03,81.52,82.54,81.22,81.57,NaN,NaN,NaN,0,0,NaN,33.91870457128793,39.94805485592434,NaN,NaN,NaN,NaN
1995-08-01,81.65,86.6,81.03,85.57,NaN,NaN,NaN,0,1,NaN,45.533549545428116,39.996514109361854,NaN,NaN,NaN,NaN
1995-09-01,85.7,87.37,83.5,84.29,NaN,NaN,NaN,1,0,NaN,42.93302464330157,39.81630719265242,NaN,NaN,NaN,NaN
1995-10-02,84.36,84.84,82.99,83.66,NaN,NaN,NaN,0,0,NaN,41.67153335879442,39.576186697884886,NaN,NaN,NaN,NaN
1995-11-01,83.84,85.38,83.34,85.26,NaN,NaN,NaN,0,0,NaN,46.01031393646577,39.91057119412928,NaN,NaN,NaN,NaN
1995-12-01,85.32,85.59,84.41,84.76,NaN,NaN,NaN,0,0,NaN,44.88664347678901,40.45335261983443,NaN,NaN,NaN,NaN
1996-01-01,84.56,87.72,84.48,87.38,NaN,NaN,NaN,1,0,NaN,51.56215501109614,40.83717964010402,NaN,NaN,NaN,NaN
1996-02-01,87.32,87.56,85.26,86.29,NaN,NaN,NaN,0,0,NaN,48.908051015105045,41.09045551867742,NaN,NaN,NaN,NaN
1996-03-01,86.6,87.12,86.08,86.52,NaN,NaN,NaN,0,0,NaN,49.498761831557665,41.49339569198856,NaN,NaN,NaN,NaN
1996-04-01,86.64,88.29,86.27,88.02,NaN,NaN,NaN,0,0,NaN,53.29160999816328,42.45410837909718,NaN,NaN,53.29160999816328,NaN
1996-05-01,88.35,89.04,87.38,87.78,NaN,NaN,NaN,1,0,NaN,52.61077356931625,43.82641158991059,NaN,NaN,NaN,NaN
1996-06-03,87.87,88.56,87.35,87.82,NaN,NaN,NaN,0,0,NaN,52.71919178832046,45.21672408237317,NaN,NaN,NaN,NaN
1996-07-01,87.8,88.29,85.69,85.9,NaN,NaN,NaN,0,1,NaN,47.14382566175189,46.044545884747855,47.14382566175189,NaN,NaN,NaN
1996-08-01,86.03,86.95,85.81,86.36,NaN,NaN,NaN,0,0,NaN,48.54777077847224,47.08827922756071,NaN,NaN,NaN,NaN
1996-09-02,86.49,88.1,86.32,87.94,NaN,NaN,NaN,0,0,NaN,53.15076902427168,48.461998117059565,NaN,NaN,NaN,NaN
1996-10-01,87.93,88.53,86.93,87.43,NaN,NaN,NaN,0,0,NaN,51.547730586047905,48.89158247710383,NaN,NaN,NaN,NaN
1996-11-01,87.31,87.96,86.06,87.92,NaN,NaN,NaN,0,1,NaN,53.01399891898315,49.61165206822394,NaN,NaN,NaN,NaN
1996-12-02,88.02,89.14,87.77,88.12,NaN,NaN,NaN,0,0,NaN,53.630803374695134,50.46588564078827,NaN,NaN,NaN,NaN
1997-01-01,88.44,93.47,88.24,93.04,NaN,NaN,NaN,0,0,NaN,65.59575281469407,51.86484556066172,NaN,NaN,NaN,NaN
1997-02-03,93.33,95.74,93.04,94.89,NaN,NaN,NaN,0,0,NaN,68.85054359646897,53.57655271206744,NaN,NaN,NaN,NaN
1997-03-03,95.14,96.32,94.18,94.72,NaN,NaN,NaN,0,0,NaN,68.21193718008583,54.76582286699527,NaN,NaN,NaN,NaN
1997-04-01,94.6,97.38,94.02,97.23,NaN,NaN,NaN,1,0,NaN,72.29752015702036,56.43649923427494,NaN,NaN,72.29752015702036,NaN
1997-05-01,96.97,97.28,93.2,94.85,NaN,NaN,NaN,0,1,NaN,63.90977579708049,57.465857374669426,NaN,NaN,NaN,NaN
1997-06-02,95.63,96.22,94.5,95.67,NaN,NaN,NaN,0,0,NaN,65.39923648631964,58.330687838109164,NaN,NaN,NaN,NaN
1997-07-01,95.76,100,95.21,99.64,NaN,NaN,NaN,0,0,NaN,71.52621090597887,59.68179050501364,NaN,NaN,NaN,NaN
1997-08-01,99.96,101.7,97.96,99,NaN,NaN,NaN,1,0,NaN,69.39292182918403,60.872771222218184,NaN,NaN,NaN,NaN
1997-09-01,99.33,100.09,96.92,97.11,NaN,NaN,NaN,0,0,NaN,63.38104088581969,62.032572309651584,NaN,NaN,NaN,NaN
1997-10-01,97.4,98.15,94.83,95.64,NaN,NaN,NaN,0,0,NaN,59.09288463241786,62.78579472779056,59.09288463241786,NaN,NaN,NaN
1997-11-03,95.97,97.99,94.82,97.79,NaN,NaN,NaN,0,1,NaN,63.03236311719849,63.49162287728533,NaN,NaN,NaN,NaN
1997-12-01,98.29,99.73,97.81,99.65,NaN,NaN,NaN,0,0,NaN,66.07608528771001,64.52936249883263,NaN,NaN,NaN,NaN
1998-01-01,99.98,101.53,98.26,100.79,NaN,NaN,NaN,0,0,NaN,67.82465564675559,65.58726655081637,NaN,NaN,NaN,NaN
1998-02-02,100.78,101.04,98.51,99.82,NaN,NaN,NaN,0,0,NaN,64.76569596712848,66.38261602170446,NaN,NaN,NaN,NaN
1998-03-02,99.4,101.69,99.3,101.5,NaN,NaN,NaN,0,0,NaN,67.49968028535167,66.51861084103714,NaN,NaN,NaN,NaN
1998-04-01,101.61,102.11,99.11,99.71,NaN,NaN,NaN,0,0,NaN,61.98120887738578,66.02794407538835,NaN,NaN,NaN,NaN
1998-05-01,99.74,100.66,98.61,100.45,NaN,NaN,NaN,0,1,NaN,63.3164265976578,65.67826474807207,NaN,NaN,NaN,NaN
1998-06-01,100.43,102.44,99.43,101.17,NaN,NaN,NaN,0,0,NaN,64.61844221676226,65.12975918091078,NaN,NaN,NaN,NaN
1998-07-01,101.15,102.61,100.24,101.2,NaN,NaN,NaN,0,0,NaN,64.67470274771043,65.18439682024149,NaN,NaN,NaN,NaN
1998-08-03,101.63,102.71,100.11,100.2,NaN,NaN,NaN,1,0,NaN,61.18236250971599,64.88319153619837,NaN,NaN,NaN,NaN
1998-09-01,99.99,100.13,95.41,96.17,NaN,NaN,NaN,0,0,NaN,49.56631307281123,63.314627405257816,NaN,NaN,NaN,NaN
1998-10-01,95.29,95.58,91.38,93.73,NaN,NaN,NaN,0,1,NaN,44.106203599762054,61.5084332460134,44.106203599762054,NaN,NaN,NaN
1998-11-02,93.49,96.92,93.31,96.2,NaN,NaN,NaN,0,0,NaN,50.098830862350404,60.559703958622734,NaN,NaN,NaN,NaN
1998-12-01,95.6,95.78,93.29,94.17,NaN,NaN,NaN,0,0,NaN,45.75679850633999,59.6071263781886,NaN,NaN,NaN,NaN
1999-01-01,93.8,96.24,93.05,96.1,NaN,NaN,NaN,0,1,NaN,50.17792770466375,58.68895242015041,NaN,NaN,NaN,NaN
1999-02-01,95.9,99.48,95.38,98.71,NaN,NaN,NaN,0,0,NaN,55.46436867493962,57.93097266209538,NaN,NaN,NaN,NaN
1999-03-01,98.89,100.79,98.16,100.02,NaN,NaN,NaN,0,0,NaN,57.8800777566071,57.22064566994191,NaN,NaN,NaN,NaN
1999-04-01,100.02,101.36,99.43,101,NaN,NaN,NaN,0,0,NaN,59.64363096369718,56.85478388398253,NaN,NaN,NaN,NaN
1999-05-03,100.96,102.64,99.35,102.45,NaN,NaN,NaN,0,0,NaN,62.167640786695564,56.47392391979281,NaN,NaN,NaN,NaN
1999-06-01,102.34,103.35,100.87,102.91,NaN,NaN,NaN,0,0,NaN,62.959111526837646,56.543774109039376,NaN,NaN,62.959111526837646,62.959111526837646
1999-07-01,102.71,104.88,99.62,99.68,NaN,NaN,NaN,1,0,NaN,54.35954387383064,55.90399677162315,NaN,NaN,NaN,NaN
1999-08-02,99.97,101.46,98.88,100.03,NaN,NaN,NaN,0,0,NaN,55.075605603909246,55.22236558499078,NaN,NaN,NaN,NaN
1999-09-01,100.04,101.27,98.26,98.5,NaN,NaN,NaN,0,0,NaN,51.28751616726084,54.26613797210153,51.28751616726084,NaN,NaN,NaN
1999-10-01,98.52,99.92,96.94,99.07,NaN,NaN,NaN,0,1,NaN,52.59563554609962,53.65280033184322,NaN,NaN,NaN,NaN
1999-11-01,98.98,102.34,98.72,101.96,NaN,NaN,NaN,0,0,NaN,58.6575643863402,54.30217542566671,NaN,NaN,NaN,NaN
1999-12-01,101.98,102.76,100.49,101.87,NaN,NaN,NaN,0,0,NaN,58.407076157617546,55.32366632265639,NaN,NaN,NaN,NaN
2000-01-03,101.67,105.28,99.71,105.07,NaN,NaN,NaN,0,0,NaN,64.25232782633933,56.334630391512746,NaN,NaN,NaN,NaN
2000-02-01,104.98,107.37,102.92,105.96,NaN,NaN,NaN,0,0,NaN,65.69627006265253,57.75887835982079,NaN,NaN,NaN,NaN
2000-03-01,106.22,106.61,104.48,105.46,NaN,NaN,NaN,0,0,NaN,64.12907973630833,58.75538921922397,NaN,NaN,NaN,NaN
2000-04-03,105.61,110.32,104.23,110.13,NaN,NaN,NaN,0,0,NaN,71.07056673637507,59.870117652183644,NaN,NaN,71.07056673637507,NaN
2000-05-01,109.9,112.86,108.18,108.64,NaN,NaN,NaN,1,0,NaN,66.63961952432508,60.495799207020646,NaN,NaN,NaN,NaN
2000-06-01,108.65,109.42,105.56,106.8,NaN,NaN,NaN,0,0,NaN,61.537367039438976,60.63106606957363,61.537367039438976,NaN,NaN,NaN
2000-07-03,106.82,109.92,106.7,109.58,NaN,NaN,NaN,0,0,NaN,65.79816115783888,60.89038895322672,NaN,NaN,NaN,NaN
