time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1984-03-01,30.81,31.1,30.38,30.85,NaN,NaN,NaN,0,0,0,48.977212570016896,46.20584596881982,NaN,NaN,NaN,NaN
1984-04-02,30.81,30.88,30.2,30.26,NaN,NaN,NaN,0,0,0,46.72017731988799,46.564160601768904,NaN,NaN,NaN,NaN
1984-05-01,30.3,31.5,30.1,30.83,NaN,NaN,NaN,1,0,0,49.157851726091145,47.02490313861402,NaN,NaN,49.157851726091145,NaN
1984-06-01,30.86,30.88,29.04,29.75,NaN,NaN,NaN,0,0,0,44.96047985540365,46.907152551207936,NaN,NaN,NaN,NaN
1984-07-02,29.82,29.99,27.55,27.6,NaN,NaN,NaN,0,1,0,38.00367886612523,46.36031463600712,NaN,NaN,NaN,NaN
1984-08-01,27.76,30,27.73,29.23,NaN,NaN,NaN,0,0,0,44.95731669602049,46.07243299897358,NaN,NaN,NaN,NaN
1984-09-03,29.06,29.75,28.84,29.66,NaN,NaN,NaN,0,0,0,46.6570800719881,45.77870145664914,NaN,NaN,NaN,NaN
1984-10-01,29.64,29.72,26.3,28.46,NaN,NaN,NaN,0,0,0,42.6946651065179,45.28994991188644,NaN,NaN,NaN,NaN
1984-11-01,28.39,28.87,27,27.31,NaN,NaN,NaN,0,0,0,39.25410785951633,44.812710559985476,NaN,NaN,NaN,NaN
1984-12-03,27.21,27.87,26.04,26.41,NaN,NaN,NaN,0,0,0,36.75760678607036,44.154692917306434,NaN,NaN,NaN,NaN
1985-01-01,26.15,26.52,24.66,26.41,NaN,NaN,NaN,0,1,0,36.75760678607036,43.734554652920075,36.75760678607036,NaN,NaN,NaN
1985-02-01,26.37,28.06,26.27,26.73,NaN,NaN,NaN,0,0,0,38.37378401318253,43.32867226019442,NaN,NaN,NaN,NaN
1985-03-01,26.87,28.87,26.83,28.29,NaN,NaN,NaN,0,0,0,45.66381143116499,43.3372581798155,NaN,NaN,NaN,NaN
1985-04-01,28.36,29.33,27.48,27.63,NaN,NaN,NaN,1,0,0,43.32851770609429,43.01884977101071,NaN,NaN,NaN,NaN
1985-05-01,27.38,28.14,26.98,27.84,NaN,NaN,NaN,0,0,0,44.30451670850251,42.68508578090253,NaN,NaN,NaN,NaN
1985-06-03,27.64,27.64,26.47,26.87,NaN,NaN,NaN,0,1,0,40.80850699494529,42.262823614835206,NaN,NaN,NaN,NaN
1985-07-01,26.8,27.7,26.52,27.12,NaN,NaN,NaN,0,0,0,42.07711592138444,41.75705677164187,NaN,NaN,NaN,NaN
1985-08-01,27.11,28.32,27.01,28.08,NaN,NaN,NaN,0,0,0,46.79290053017119,41.887943962696696,NaN,NaN,NaN,NaN
1985-09-02,28.23,29.19,27.37,29.08,NaN,NaN,NaN,0,0,0,51.24567201354831,42.833800616084055,NaN,NaN,NaN,NaN
1985-10-01,29.1,30.4,28.57,30.38,NaN,NaN,NaN,0,0,0,56.3587881870621,43.64819143687274,NaN,NaN,56.3587881870621,NaN
1985-11-01,30.37,31.5,29.74,29.75,NaN,NaN,NaN,1,0,0,53.43414281606386,44.13226734716387,NaN,NaN,NaN,NaN
1985-12-02,29.3,29.85,24.8,26.3,NaN,NaN,NaN,0,0,0,40.91317323631016,44.005017927863314,NaN,NaN,NaN,NaN
1986-01-01,25.85,26.6,18.6,18.83,NaN,NaN,NaN,0,0,0,26.457160211643426,43.09095023872953,NaN,NaN,NaN,NaN
1986-02-03,17.93,18.68,12.7,13.26,NaN,NaN,NaN,0,0,0,20.609605209868192,41.9375215547151,NaN,NaN,NaN,NaN
1986-03-03,12.85,14.18,10.3,10.42,NaN,NaN,NaN,0,0,0,18.37910038810348,40.62477109771747,18.37910038810348,NaN,NaN,NaN
1986-04-01,9.95,14.4,9.75,13.34,NaN,NaN,NaN,0,1,0,27.113441215333168,39.82046089787108,NaN,NaN,NaN,NaN
1986-05-01,13.5,17.2,13.5,14.3,NaN,NaN,NaN,1,0,0,29.774158757183827,38.68548570687243,NaN,NaN,NaN,NaN
