,Liv-ex 100,wine_12m_ret,Predicted_12M_Return,Signal,Strategy_Return,Cum_Strategy,Cum_BuyHold
2004-01-31,100.41,,,0,,,
2004-02-29,100.03,,,0,,,
2004-03-31,99.62,,,0,,,
2005-01-31,97.87,,,0,,,
2005-02-28,98.91,,,0,,,
2005-03-31,99.93,,,0,,,
2006-01-31,118.28,,,0,,,
2006-02-28,122.48,,,0,,,
2006-03-31,127.38,,,0,,,
2007-01-31,175.91,,,0,,,
2007-02-28,181.12,,,0,,,
2007-03-31,191.11,,,0,,,
2008-01-31,242.8,1.4180858480231056,,0,0.0,1.0,2.4180858480231056
2008-02-29,249.09,1.490152954113766,,0,0.0,1.0,6.0214036177554275
2008-03-31,256.07,1.5704677775547076,,0,0.0,1.0,15.47782397509167
2009-01-31,209.33,1.1388576683355471,,0,0.0,1.0,33.1048624982726
2009-02-28,212.1,1.1443736730360934,,0,0.0,1.0,70.98919559077564
2009-03-31,209.57,1.0971680176123284,,0,0.0,1.0,148.8762705890008
2010-01-31,245.84,1.0784578965167395,,0,0.0,1.0,309.4330602096715
2010-02-28,253.34,1.0684193337687784,,0,0.0,1.0,640.0373242449231
2010-03-31,267.4,1.0992306484534464,,0,0.0,1.0,1343.5859672090785
2010-04-30,283.8,0.6133249957364562,,0,0.0,1.0,2167.6408248191487
2010-06-30,304.67,0.6821444346289753,,0,0.0,1.0,3646.284949744093
2010-07-31,300.93,0.5746428758306734,,0,0.0,1.0,5741.596619363141
2010-08-31,303.58,0.2503294892915979,,0,0.0,1.0,7178.887568806682
2010-09-30,308.12,0.2369826167248785,,0,0.0,1.0,8880.15913003619
2010-10-31,315.65,0.2326707540906782,,0,0.0,1.0,10946.312451266933
2010-11-30,329.16,0.5724454211054317,,0,0.0,1.0,17212.47889198406
2010-12-31,336.28,0.5854785478547855,,0,0.0,1.0,27290.016038644037
2011-01-31,346.14,0.6516677005296561,,0,0.0,1.0,45074.03803796463
2011-02-28,357.45,0.4539944679466319,,0,0.0,1.0,65537.40195521663
2011-03-31,359.01,0.417107444540933,,0,0.0,1.0,92873.54020660899
2011-04-30,358.95,0.3423709798055347,,0,0.0,1.0,124670.74516515444
2011-05-31,358.92,0.2646934460887948,,0,0.0,1.0,157670.27432937713
2011-06-30,364.69,0.1970000328223979,,0,0.0,1.0,188731.32354738092
2011-07-31,359.01,0.1930016947462864,,0,0.0,1.0,225156.78884373515
2011-08-31,344.54,0.1349232492259042,,0,0.0,1.0,255535.67437980272
2011-09-30,322.66,0.0471894067246527,,0,0.0,1.0,267594.25125076965
2011-10-31,308.03,-0.0241406621257722,,0,-0.0,1.0,261134.34884452584
2011-11-30,297.96,-0.09478672985782,,0,-0.0,1.0,236382.27786400204
2011-12-31,286.33,-0.148536933507791,,0,-0.0,1.0,201270.77917449657
2012-01-31,290.3,-0.1613220084358929,,0,-0.0,1.0,168801.3728386097
2012-02-29,293.66,-0.1784585256679255,,0,-0.0,1.0,138677.3287111096
2012-03-31,293.55,-0.1823347539065763,,0,-0.0,1.0,113391.63210814806
2012-04-30,289.92,-0.1923109068115336,,0,-0.0,1.0,91585.18451259029
