Date,Price,Phase,Market_Phase
2003-01-01,100.41,Neutral,Bear Market
2003-02-01,100.03,Neutral,Bear Market
2003-03-01,99.62,Neutral,Bear Market
2003-04-01,97.87,Trough,Accumulation
2003-05-01,98.91,Neutral,Bear Market
2003-06-01,99.93,Neutral,Bear Market
2003-07-01,118.28,Neutral,Bear Market
2003-08-01,122.48,Neutral,Bear Market
2003-09-01,127.38,Neutral,Bear Market
2003-10-01,175.91,Neutral,Bear Market
2003-11-01,181.12,Neutral,Bear Market
2003-12-01,191.11,Neutral,Bear Market
2004-01-01,242.8,Neutral,Bear Market
2004-02-01,249.09,Neutral,Bear Market
2004-03-01,256.07,Peak,Distribution
2004-04-01,209.33,Trough,Accumulation
2004-05-01,212.1,Peak,Distribution
2004-06-01,209.57,Trough,Accumulation
2004-07-01,245.84,Neutral,Bear Market
2004-08-01,253.34,Neutral,Bear Market
2004-09-01,267.4,Neutral,Bear Market
2004-10-01,283.8,Neutral,Bear Market
2004-11-01,304.67,Peak,Distribution
2004-12-01,300.93,Trough,Accumulation
2005-01-01,303.58,Neutral,Bear Market
2005-02-01,308.12,Neutral,Bear Market
2005-03-01,315.65,Neutral,Bear Market
2005-04-01,329.16,Neutral,Bear Market
2005-05-01,336.28,Neutral,Bear Market
2005-06-01,346.14,Neutral,Bear Market
2005-07-01,357.45,Neutral,Bear Market
2005-08-01,359.01,Peak,Distribution
2005-09-01,358.95,Neutral,Bear Market
2005-10-01,358.92,Trough,Accumulation
2005-11-01,364.69,Peak,Distribution
2005-12-01,359.01,Neutral,Bear Market
2006-01-01,344.54,Neutral,Bear Market
2006-02-01,322.66,Neutral,Bear Market
2006-03-01,308.03,Neutral,Bear Market
2006-04-01,297.96,Neutral,Bear Market
2006-05-01,286.33,Trough,Accumulation
2006-06-01,290.3,Neutral,Bear Market
2006-07-01,293.66,Peak,Distribution
2006-08-01,293.55,Neutral,Bear Market
2006-09-01,289.92,Neutral,Bear Market
2006-10-01,278.28,Neutral,Bear Market
2006-11-01,265.12,Neutral,Bear Market
2006-12-01,257.69,Trough,Accumulation
2007-01-01,258.78,Neutral,Bear Market
