,Liv-ex 100,"ECONOMICS_USCPI, M","TVC_US10Y, 15","FX_GBPUSD, 1M","OANDA_EURUSD, 1M","FX_IDC_GBPEUR, 1M","FX_GBPJPY, 1M","HKEX_DLY_HSI1!, 1M (1)","TVC_DXY, 1M","CME_MINI_ES1!, 1M (1)","CME_MINI_NQ1!, 1M","TVC_USOIL, 1M","PEPPERSTONE_COCOA, 1M",liv-ex Champagne 50,liv-ex Italy 100,liv-ex Rhone 100,liv-ex California 50,liv-ex Investables,Liv-ex Fine Wine 1000,Liv-ex Indices,liv-ex Burgundy 150,liv-ex Bordeaux Legends,"ECONOMICS_USINTR, 1M"
2004-01-31 00:00:00,100.41,185.2,,1.9159,1.3568,1.4156,196.845,14222.0,80.85,1213.75,1628.5,43.45,,,,,,,,,,,1.0
2004-02-29 00:00:00,100.03,186.2,,1.802,1.2183,1.4797,196.715,12818.0,88.94,1104.0,1370.0,42.12,,,,,,,,,,,1.0
2004-03-31 00:00:00,99.62,187.4,,1.8321,1.21875,1.5033,200.645,12175.0,88.95,1121.5,1468.0,39.88,,,,,,,,,,,1.0
2005-01-31 00:00:00,97.87,190.7,,1.7204,1.1848,1.454,202.935,14838.0,91.17,1254.75,1659.0,61.04,,,,,,,,,,,2.25
2005-02-28 00:00:00,98.91,191.8,,1.8171,1.230335,1.4764,197.255,,87.76,1192.25,1545.0,51.97,,,,,,,,,,,2.5
2005-03-31 00:00:00,99.93,193.3,,1.7697,1.199215,1.4753,206.005,14384.0,90.07,1209.75,1586.5,59.76,,,,,,,,,,,2.75
2006-01-31 00:00:00,118.28,198.3,,1.958,1.31977,1.4843,233.065,20018.0,83.72,1428.5,1775.0,61.07,,,,,,,,,,,4.5
2006-02-28 00:00:00,122.48,198.7,,1.9072,1.276185,1.494,223.085,18340.0,85.32,1383.25,1742.75,58.61,,,,,,,,,,,4.5
2006-03-31 00:00:00,127.38,199.8,,1.8675,1.276685,1.4626,214.115,16975.0,85.3,1281.75,1518.75,74.4,,,,,,,,,,,4.75
2007-01-31 00:00:00,175.91,202.416,,2.0559000000000003,1.46335,1.4056,228.436,28880.0,76.147,1483.75,2094.5,88.7,,,,,,,,,,,5.25
2007-02-28 00:00:00,181.12,203.499,,2.0312,1.3684,1.4837,240.915,31269.0,80.77,1462.0,1945.75,78.0,,,,,,,,,,,5.25
2007-03-31 00:00:00,191.11,205.352,,1.98375,1.4592,1.3616,221.638,27910.0,76.695,1477.25,2104.75,96.2,,,,,,,,,,,5.25
2008-01-31 00:00:00,242.8,211.08,,1.4542,1.39759,1.0465,132.14,14397.0,81.308,900.0,1212.5,42.66,,,,,,,,,,,3.0
2008-02-29 00:00:00,249.09,211.693,,1.99217,1.575605,1.2648,211.596,13930.0,79.448,1281.0,1846.0,140.0,,,,,,,,,,,3.0
2008-03-31 00:00:00,256.07,213.528,,1.54039,1.26909,1.2111,147.194,13988.0,86.517,895.25,1186.0,55.03,,,,,,,,,,,2.25
2009-01-31 00:00:00,209.33,211.143,,1.6164,1.43252,1.1273,150.45499999999998,21925.0,77.86,1110.75,1858.75,79.62,,,,,,,,,,,0.25
2009-02-28 00:00:00,212.1,212.193,,1.64391,1.50046,1.0952,142.01999999999998,21748.0,74.879,1094.75,1767.5,77.28,,,,,,,,,,,0.25
2009-03-31 00:00:00,209.57,212.709,,1.62846,1.433395,1.1355,151.625,19623.0,78.172,1019.75,1625.0,69.57,,,,,,,,,,,0.25
2010-01-31 00:00:00,245.84,216.687,,1.55955,1.33845,1.166,126.503,23020.0,79.028,1253.0,2216.0,91.28,,,,,,,,,,,0.25
2010-02-28 00:00:00,253.34,216.741,,1.53461,1.268,1.2093,129.23,20320.0,83.202,1048.25,1766.5,71.65,,,,,,,,,,,0.25
2010-03-31 00:00:00,267.4,217.631,,1.4542,1.230555,1.1807,132.73899999999998,19713.0,86.48,1088.5,1852.0,73.99,,,,,,,,,,,0.25
