,Unnamed: 0,Liv-ex 100,US CPI,"TVC_US10Y, 15","FX_GBPUSD, 1M","OANDA_EURUSD, 1M","FX_IDC_GBPEUR, 1M","FX_GBPJPY, 1M","HKEX_DLY_HSI1!, 1M (1)",Dollar Index (DXY),S&P 500 Futures,"CME_MINI_NQ1!, 1M","TVC_USOIL, 1M","PEPPERSTONE_COCOA, 1M",liv-ex Champagne 50,liv-ex Italy 100,liv-ex Rhone 100,liv-ex California 50,liv-ex Investables,Liv-ex Fine Wine 1000,Liv-ex Indices,liv-ex Burgundy 150,liv-ex Bordeaux Legends,US Interest Rate,Wine_ret,CPI_lag_0,CPI_lag_3,CPI_lag_6,CPI_lag_12,Inflation Regime,wine_12m_ret,cum_price,rolling_max,drawdown,momentum_now,momentum_next,momentum_direction_change,wine_vol_12m,US CPI_lag_12,US Interest Rate_lag_6,Bullish,Bullish_Prob,Livex_Change,Reversion,Reversion_Prob,drawdown_z,rolling_min_gap,momentum_change,rolling_peak,drawdown_pct,Predicted_12M_Return,rolling_min,pct_from_min,Plot_Date
0,1984-01-31,314.25,101.9,,1.197,1.08154,1.1938,296.19,23162.0,104.183,5653.25,19439.5,27.31,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,9.5,-0.0975273541828206,101.9,319.8,315.61,314.18,Low CPI,0.0,314.25,314.25,0.0,,,True,,,9.5,0,,,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,0
1,1984-02-29,314.25,102.4,,1.3073,1.08154,1.1938,320.57,23162.0,104.183,5653.25,19439.5,27.6,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,9.5,-0.0873315520446096,102.4,320.8,317.67,314.54,Low CPI,0.0,314.25,314.25,0.0,,,True,,,9.5,0,,,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,1
2,1984-03-31,314.25,102.6,,1.158,1.08154,1.1938,291.56,23162.0,104.183,5653.25,19439.5,26.41,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,10.5,-0.077823752090853,102.6,321.47,319.08,314.8,Low CPI,0.0,314.25,314.25,0.0,,,True,,,9.5,0,,,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,2
3,1985-01-31,314.25,105.5,,1.489,1.08154,1.1938,301.17,23162.0,104.183,5653.25,19439.5,29.75,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,8.25,-0.062248217003372,105.5,101.9,319.8,315.3,Low CPI,0.0,314.25,314.25,0.0,,,True,,,9.5,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,3
4,1985-02-28,314.25,106.0,,1.439,1.08154,1.1938,289.72,23162.0,104.183,5653.25,19439.5,26.3,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,9.0,-0.0627236936292053,106.0,102.4,320.8,315.66,Low CPI,0.0,314.25,314.25,0.0,,,True,,,9.5,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,4
5,1985-03-31,314.25,106.4,,1.3095,1.08154,1.1938,325.01,23162.0,104.183,5653.25,19439.5,26.87,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,8.5,-0.0391083659491194,106.4,102.6,321.47,315.49,Low CPI,0.0,314.25,314.25,0.0,,,True,,,9.5,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,5
6,1986-01-31,314.25,109.6,,1.4865,1.08154,1.36849999,234.62,23162.0,104.183,5653.25,19439.5,17.94,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,7.75,-0.0408387510301254,109.6,105.5,101.9,315.61,Low CPI,0.0,314.25,314.25,0.0,,0.0,True,,,9.5,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,6
7,1986-02-28,314.25,109.3,,1.5435,1.08154,1.5589,251.56,23162.0,104.183,5653.25,19439.5,12.78,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,7.75,-0.0364567363708836,109.3,106.0,102.4,317.67,Low CPI,0.0,314.25,314.25,0.0,,0.0,True,,,9.5,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,7
8,1986-03-31,314.25,108.8,,1.434,1.08154,1.36099994,232.1,23162.0,104.183,5653.25,19439.5,15.0,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,7.25,-0.0286235355939538,108.8,106.4,102.6,319.08,Low CPI,0.0,314.25,314.25,0.0,,0.0,True,,,10.5,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,8
9,1987-01-31,314.25,111.2,,1.887,1.08154,1.43879998,228.41,2293.0,104.183,5653.25,19439.5,16.7,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.0,-0.0214243452807274,111.2,109.6,105.5,319.8,Low CPI,0.0,314.25,314.25,0.0,,0.0,True,,,8.25,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,9
10,1987-02-28,314.25,111.6,,1.8265,1.08154,1.45210004,241.66,2122.0,104.183,5653.25,19439.5,18.51,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.0,-0.0045929680076021,111.6,109.3,106.0,320.8,Low CPI,0.0,314.25,314.25,0.0,,0.0,True,,,9.0,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,10
11,1987-03-31,314.25,112.1,,1.6285,1.08154,1.42990005,232.29,3735.0,104.183,5653.25,19439.5,19.73,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.0,0.0,112.1,108.8,106.4,321.47,Low CPI,0.0,314.25,314.25,0.0,,0.0,True,,,8.5,0,,0.0,0,,0.9959910572893974,0.0,True,314.25,0.0,,314.25,0.0,11
12,1988-01-31,314.25,115.7,,1.8115,1.08154,1.54159999,225.96,2718.0,104.183,5653.25,19439.5,17.24,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.63,0.0,115.7,111.2,109.6,101.9,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,101.9,7.75,0,0.006056578545921919,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,12
13,1988-02-29,314.25,116.0,,1.835,1.08154,1.52629995,229.9,2490.0,104.183,5653.25,19439.5,17.51,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.5,0.0,116.0,111.6,109.3,102.4,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,102.4,7.75,0,0.006079292253933274,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,13
14,1988-03-31,314.25,116.5,,1.768,1.08154,1.52419996,221.85,2631.0,104.183,5653.25,19439.5,13.58,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.75,0.0,116.5,112.1,108.8,102.6,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,102.6,7.25,0,0.008506646663155835,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,14
15,1989-01-31,314.25,121.1,,1.614,1.08154,1.35210001,231.86,2892.0,104.183,5653.25,19439.5,21.82,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,8.75,0.0,121.1,115.7,111.2,105.5,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,105.5,6.0,0,0.02042622522995958,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,15
16,1989-02-28,314.25,121.6,,1.579,1.08154,1.41939998,225.86,2749.0,104.183,5653.25,19439.5,19.94,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,9.75,0.0,121.6,116.0,111.6,106.0,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,106.0,6.0,0,0.02055219686378335,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,16
17,1989-03-31,314.25,122.3,,1.6645,1.08154,1.49510002,228.14,2603.0,104.183,5653.25,19439.5,18.31,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,9.75,0.0,122.3,116.5,112.1,106.4,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,106.4,6.0,0,0.02072983574986005,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,17
18,1990-01-31,314.25,127.4,,1.9435,1.08154,1.41760004,257.35,2896.0,104.183,5653.25,19439.5,28.85,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,8.25,0.0,127.4,121.1,115.7,109.6,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,109.6,6.63,0,0.014633630819356121,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,18
19,1990-02-28,314.25,128.0,,1.8625,1.08154,1.42859995,271.77,3477.0,104.183,5653.25,19439.5,20.69,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,8.25,0.0,128.0,121.6,116.0,109.3,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,109.3,6.5,0,0.01605095565189178,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,19
20,1990-03-31,314.25,128.7,,1.9295,1.08154,1.41439998,261.58,3103.0,104.183,5653.25,19439.5,28.44,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,8.25,0.0,128.7,122.3,116.5,108.8,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,108.8,6.75,0,0.013747137879916693,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,20
21,1991-01-31,314.25,134.6,,1.7675,1.08154,1.40869999,229.53,4131.0,104.183,5653.25,19439.5,21.48,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.75,0.0,134.6,127.4,121.1,111.2,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,111.2,8.75,0,0.0039600635942149175,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,21
22,1991-02-28,314.25,134.8,,1.8682,1.08154,1.39690006,233.23,4279.0,104.183,5653.25,19439.5,18.65,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.25,0.0,134.8,128.0,121.6,111.6,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,111.6,9.75,0,0.0020471195608193697,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,22
23,1991-03-31,314.25,135.0,,1.619,1.08154,1.42809999,222.55,3722.0,104.183,5653.25,19439.5,20.56,8142.1,485.24,345.08,172.12,298.71,316.12,352.25,619.1,608.27,368.06,6.0,0.0,135.0,128.7,122.3,112.1,High CPI,0.0,314.25,314.25,0.0,0.0,0.0,False,0.0,112.1,9.75,0,0.002052255217158318,0.0,0,0.0,0.9959910572893974,0.0,False,314.25,0.0,-0.004781075417374962,314.25,0.0,23
